term,tag
sharply,RB
short's,NP$
shimmy,VB
shone,VBD
shrugged,VBD
sh-ts,NNS
shattered,VBN
shevchenko,NP
shrinkage,NN-HL
shensi,NP
shack,NN
shredding,VBG
shouldda,MD+HV
shaving,VBG
shielding,NN
sherrill,NP
shibboleths,NNS
showings,NNS
short-range,NN
shipboard,NN
shenanigans,NNS
shakespeare's,NP$
shambling,VBG
shock,NN
shish,NN
shooters,NNS
shave,VB
shirtsleeve,NN
shintoism,NP
shoveled,VBN
sheeran,NP
shulde,MD
shatteringly,QL
short-of-war,JJ
shining,VBG
shaefer's,NP$
showcase,NN
shade-darkened,JJ
shares,NNS
shamefacedly,RB
sheeted,VBN
shared,VBD
shocks,NNS
ship's,NN$
shoreline,NN
shawomet,NP
shills,NNS
shackles,NNS
shortness,NN
shriek,VB
shabbat,NP
shove,VB
shift,NN
shipley,NP
shades,NNS-TL
sharkey,NP
sharpening,VBG
shinbone,NN
shell-psychology,NN
shaded,VBN
sheila,NP
shootings,NNS
shorthand,NN
shrubbery-lined,JJ
shelled,VBN
shoved,VBD
shabbily,RB
shrove,NP
shelley,NP
shipmates,NNS
shape-up,JJ
shareholders,NNS
sharper,JJR
sharpe's,NP$-TL
shotguns,NNS-HL
shackled,VBN
shop's,NN$
sharpen,VB
short-time,NN
sharing,VBG
shipwreck,NN
shoulder-high,JJ
shelters,NNS
shafts,NNS
shoelaces,NNS
shoot,VB
shepherds,NNS
sheds,VBZ
shielded,VBN
shrieked,VBD
sheeting,NN
shari,NP
share,VB
shirt-sleeved,JJ
sharp,JJ
shuffled,VBD
sheraton-dallas,NP-TL
showmanship,NN-TL
shifters,NNS
shores,NNS
shockingly,QL
shaw,NP
shortcomings,NNS
short,RB
shady,JJ
shann's,NP$
shore,NN
sherman's,NP$
shade,NN
shaffner,NP
shotshells,NNS
shoes,NNS
shipwrecked,VBN
shaky,JJ
shirley's,NP$
shuddery,JJ
shapeless,JJ
shake,VB
shawnee,NP
shortstop,NN
sheaf,NN
ships,NNS
showmen,NNS
shudder,VB
shuddering,VBG
showered,VBD
shear,NN
shag,NN
shacked,VBN
shatter,VB
shameful,JJ
shak.,NP
sheraton-biltmore,NP-TL
shelley's,NP$
shadowy,JJ
shirl,NP
shoelace,NN
shortage,NN
shaw's,NP$
shocking,VBG
shaking,NN
shoulder-to-shoulder,RB
shack-up,JJ
shylockian,JJ
shirking,VBG
ships',NNS$
shearing,VBG
shannon,NP-TL
shewe,NN
shutdowns,NNS
shown,VBN
shadowing,VBG
shouldn't,MD*
shipment,NN
showroom,NN
shansi,NP
shows,NNS
shut,VBN
