term,tag
skeleton,NN
skip,VB
skis,NNS
skit,NN
skate,VB
skiing,VBG
skill,NN
skull-bashings,NNS
skid,NN
sky-reaching,JJ
skinfolds,NNS
skirmishes,NNS
sky,NN
skits,NNS
skirmished,VBD
skywave,NN
skirting,VBG
ski,NN
skies,NNS
skylight,NN
skipped,VBD
ski-joring,VBG
sky-god,NP-TL
skiffs,NNS
skinnin',VBG
skin-perceptiveness,NN
skipper,NN
skeptical,JJ
skills,NNS
skeletal,JJ
skybolt,NP
skipjack,NP
skyline,NN-TL
skylights,NNS
skewer,NN
skolovsky's,NP$
sketches,NNS
sketch,NN
skin,NN
skeptically,RB
skins,NNS
sketched,VBN
skulls,NNS
skolkau,NP-TL
skopas,NP
sketching,VBG
skyscraper,NN
skimpy,JJ
skiway,NP
skyros,NP
skeet,NN
skyjackers,NNS
skirmishing,VBG
skillfully,RB
skidded,VBD
skorich,NP
skolman's,NP$
skiddy,JJ
skindiving,VBG
skepticism,NN
skids,NNS
skolovsky,NP
skye,NP
skilled,JJ
skippers,NNS
skunks,NNS
skips,VBZ
skillet,NN
skeletons,NNS
sketchbook,NN
sky-tapping,JJ
skouting,VBG
skullcap,NN
skiis,NNS
skilfully,RB
skulk,VB
skillfulness,NN
skull,NN
skylark,NN-TL
skiff,NN
skylarking,VBG
skimmed,VBD
sky-carving,JJ
skirts,NNS
skating,VBG
skyscrapers,NNS
skinless,JJ
skipping,VBG
skimming,VBG
skirt,VB
skillful,JJ
skidding,VBG
skiff's,NN$
skyros',NP$
skeptics,NNS
skates,NNS
skyjacked,VBN
skirmishers,NNS
sky's,NN+BEZ
skindive,VB
skyway,NN-TL
skipjack's,NP$
skinner,NP
skolman,NP
skilful,JJ
skirted,VBD
skirmish,NN
skinny,JJ
