term,tag
smirked,VBD
smythe,NP
small-car,NN
smerdyakov,NP
smugglers',NNS$
smiling,VBG
smith,NP
smugglers,NNS
small-town,NN
smile,VB
smolderingly,RB
smart,JJ
smash,NN
smarter,JJR
smalltime,NN
smothering,VBG
smithsonian,NP
smallness,NN
smack,VB
smug,JJ
smilin',VBG-TL
smoothness,NN
smarted,VBD
smith-colmer,NP
smoke-stained,JJ
smooching,VBG
small,JJ
smoldered,VBD
smaller,JJR
small-game,NN
smoothly,RB
smallwood,NP
small-scale,NN
smith's,NP$
smirk,NN
smu,NN
smacks,VBZ
smallest,JJT
smog,NN
smithfield,NP
smilingly,RB
smithy,NN
smelled,VBD
smoldering,VBG
smothered,VBN
small-boat,NN
smartly,RB
smoky,JJ
smokers,NNS
smoke,NN
smokies,NPS-TL
smuggle,VB
smokehouse,NN
smuggled,VBN
smashing,VBG
smithereens,NNS
smolders,VBZ
smallish,JJ
smells,NNS
smash-'em-down,JJ
smu's,NN
smoother,JJR
smoothing,VBG
smoothed,VBD
smeared,VBN
smudged,VBN
smuggling,VBG
smelts,NNS
smoking,VBG
smoothbore,NN
smooth,JJ
smear,NN
smashed,VBD
smacked,VBD
smashed-out,JJ
smokescreen,NN
smoothest,JJT
smallpox,NN
smelt,VBD
smithtown,NP
smith-hughes,NP
small-arms,NNS
smell,NN
smiles,NNS
smitten,VBN
smatterings,NNS
smiled,VBD
smelling,VBG
smokes,VBZ
smoke-filled,JJ
smaller-size,NN
smoked,VBN
