term,tag
splicing,NN
splashing,VBG
splitting,VBG
spacecraft,NN
spidery,JJ
spector,NP
sputtered,VBD
special-interest,NN
speeded,VBD
sparkling,VBG
spearhead,VB
sputter,VB
spruced,VBN
sped,VBD
sprains,NNS
sponsors,NNS
spate,NN
splinting,NN-TL
spoon,NN
spaniel's,NN$
spats,NNS
spoof,NN
speidel,NP-TL
specialties,NNS
spencerian,JJ
speculation,NN
spiritual,JJ
species-dependent,JJ
spanish-american,JJ-TL
splashed,VBD
spaghetti,NN
spectral,JJ
spleen-crushing,JJ
spouses,NNS
specification,NN
spire,NN
spokesman,NN
spoilables,NNS
spec.,NN-TL-HL
specialist,NN
splinter,NN
spacing,NN
splice,NN
sportsmen's,NNS$-TL
speeches,NNS
spokane,NP
spontaneous,JJ
spiced,VBN
sprague,NP
sprouted,VBD
speech-making,NN
spotty,JJ
spades,NNS
spatially,RB
spooky,JJ
specifics,NNS
spaciousness,NN
sporadic,JJ
spurdle,NP
spoke,VBD
sports,NNS
splash,NN
spike,VB
spacers,NNS
spoils,NNS
spoilage,NN
spencer's,NP$
specializes,VBZ
splinters,NNS
splintery,JJ
specialized,VBN
spy,NN
speculatively,RB
spenders,NNS
spalding,NP
spying,VBG
sphere,NN
spruce,NN
spa,NN
spanning,VBG
species,NN
spinnability,NN
spectator-type,JJ
speedboat,NN
spreads,VBZ
spurious,JJ
speeding,VBG
sprig,NN
speaks,VBZ
springfield,NP
sprinkle,NN
specifications,NNS
spacesuits,NNS
spot,NN
sparkled,VBD
spectacularly,RB
sp.,NN-HL
spectrometer,NN
spelling,VBG
spouted,VBD
sprinkel,NP
splendid,JJ
spout,NN
spectra,NNS
spectre,NN
spray-dried,JJ
specifying,VBG
spiraled,VBD
sprout,VB
spinrad,NP
sponging,NN
spirituals,NNS-TL
spider-leg,NN
splurge,NN
sprays,NNS
spellbound,VBN
spacious,JJ
speech,NN
spear-throwing,JJ
spell,NN
speechless,JJ
speculate,VB
spandrels,NNS
spumoni's,NP$
spinco,NP
spotless,JJ
spinneret,NN
spokes,NNS
spanish,JJ-TL
spittle,NN
spider,NN
sportsman,NN
speculated,VBD
sponsor,NN
speculators,NNS
spahn,NP
special,NN
splashy,JJ
space,NN
speedometer,NN
spuyten,NP
sparkle,NN
spaniel-like,JJ
spring-joints,NNS
spavined,JJ
sparked,VBD
sparling's,NP$
spies,NNS
splashes,NNS
spread-eagled,VBN
sphynxes,NNS
spill,VB
spike-haired,JJ
speckled,VBN
speedy,JJ-TL
speeds,NNS
sprawling,VBG
speak-easy,NN
spoken,VBN
spinning,VBG
spiritually,RB
springfield's,NP+BEZ
specificity,NN
splattered,VBN
speck,NN
spread-out,JJ
spurned,VBN
spinach,NN
specters,NNS
spaceship,NN
speaking,VBG
specialists,NNS
spacings,NNS
specify,VB
splendide,NP
splayed,VBD
spirited,JJ
splendidly,RB
spoiled,VBN
spurt,NN
sprue,NN
speakin',VBG
sp,NN
spectrum,NN
spelled,VBN
sportsmen,NNS
spectacle,NN
spada,NP
spell-binding,JJ
spade,NN
speakers,NNS
speculative,JJ
sprinkled,VBD
spinley's,NP$
specks,NNS
spring-back,JJ
spangled,JJ-TL
spewing,VBG
sponsored,VBN
sport-king,NP
spleen,NN
spend,VB
spiralis,NP
spaced,VBN
spangle,NN
speedup,NN-TL
spacer,NN
spaces,NNS
spindle,NN
spurring,VBG
sparky,NP
specifically,RB
spite,IN
spineless,JJ
sparks,NNS
spirituality,NN
spontaneity,NN
speer,NP
spun,VBD
spirit-gum,NN
sprouting,VBG
sparrow's,NN$
spraying,VBG
speckles,NNS
spewings,NNS
spur,NN
spegititgninino,NP-TL
spikes,NNS
spilling,VBG
speared,VBD
spice-laden,JJ
spiked,VBN
spotted,VBD
splotched,VBN
spofford,NP
splotches,NNS
spattered,VBN
sport,NN
speechlessness,NN
spine-chilling,JJ
spirits,NNS
spectrophotometric,JJ
sponsorship,NN
spirito,NP
spectrophotometer,NN
sparsely,RB
spares,VBZ
spartan,NP
split-bamboo,NN
spared,VBN
spray,NN
spare,VB
spoil,VB
spagna,FW-NP-TL
spark,NN
specious,JJ
sparring,VBG
spatter,NN
spurs,NNS
spear,NN
spelman,NP
spotting,VBG
spahnie,NP
spans,VBZ
springs,NNS-TL
speak,VB
specializing,VBG
sponged,VBN
spotlights,VBZ
sputnik,NN-TL
sponges,NNS
spices,NNS
spoiling,VBG
sprite,NP
spit,VB
sportswriter,NN
spic,JJ
spills,VBZ
spin,VB
spirit,NN
spain,NP-TL
splits,NNS
sportiest,JJT
spontaneously,RB
speculator,NN
splenomegaly,NN
spotlight,NN
spooned,VBD
spanish-born,NP
sp-44002,NP
sp-44001,NP
sp-44006,NP
sp-44007,NP
sp-44005,NP
sprained,VBN
spectrometric,JJ
specter,NN
specialization,NN
spheres,NNS
spiraling,VBG
speculating,VBG
speaker,NN
split,VBD
sportin',VBG
spume,NN
sprague's,NP$
springing,VBG
springtime,NN
spanned,VBN
spitting,VBG
sposato,NP
spree,NN
specialize,VB
spent,VBN
spoonful,NN
spectator,NN
spencer,NP
spherical,JJ
spurred,VBD
sprayed,VBD
sponsor's,NN$
sporting,VBG
spliced,VBN
speed,NN
spells,VBZ
sprang,VBD
spectacles,NNS
sparta,NP
spatiality,NN
speedily,RB
spread,VBN
spasms,NNS
sprinted,VBD
spot-promoted,VBN
spectacular,JJ
sportsmanship,NN
specimen,NN
spires,NNS
specie,FW-NN
spine,NN
spice-nice,NP
specific,JJ
splendor,NN
split-level,NN
specifies,VBZ
sparkles,VBZ
spot-news,NN
sparling,NP
spring,NN
spongy,JJ
sponge,NN-TL
specified,VBN
sprightly,JJ
spasm,NN
sprawl,NN
spillane's,NP$
spouting,VBG
sponsoring,VBG
speakership,NN-TL
sparse,JJ
sprung,VBN
spilled,VBD
spiller,NP
speaker's,NN$
spycket,NP-TL
spreading,VBG
sparing,VBG
spacesuit,NN
spores,NNS
sprawled,VBD
span,VB
spring-training,NN
spending,NN
splintered,VBN
spiral,NN
spots,NNS
spenglerian,JJ
springboard,NN
specimens,NNS
spat,VBD
spicy,JJ
splenetic,JJ
specialty,NN
spigots,NNS
sprinkling,VBG
spice,VB
space-time,NN
spectroscopy,NN
sparrow-size,NN
spends,VBZ
specially,RB
spokesmen,NNS
spatial,JJ
specimentalia,NN
spectators,NNS
spurns,VBZ
spectrally,RB
spreader,NN
spouse,NN
spherules,NNS
sphinx,NP
sputniks,NNS
speculations,NNS
spahn's,NP$
