term,tag
state-supported,JJ
stained-glass,NN
sterilizing,VBG
steve,NP
straws,NNS
stringently,RB
stinging,VBG
stallard,NP
strangers,NNS
stunned,VBN
steroid-induced,JJ
stinky,NP
stave,VB
stout's,NP$
student-loan,NN
stable,NN
stationery,NN
stabilizing,VBG
steeled,VBN
state-sponsored,JJ
staffing,VBG
strainin',VBG
staley,NP
stanton,NP-TL
string,NN
straightforward,JJ
stake-out,NN
startlingly,RB
stepanovich,NP
strafaci,NP
stays,NNS
strictest,JJT
stabbed,VBD
strang,NP
strand,NN
staples,NNS
stodgy,JJ
stiff,JJ
stimulus,NN
strukturbericht,FW-NN-NC
steeply,RB
standards,NNS
starbird,NP
stupefying,VBG
stockade,NN
steeple,NN
stratify,VB
stubs,NNS
stair-step,NN
st.-pol,NP
strickland,NP
strivings,NNS
streets,NNS
stiffens,VBZ
steaks,NNS
strung,VBN
street,NN
stamford,NP
sterile,JJ
stickpin,NN
stealer,NN
stardom,NN
stood,VBD
stands,VBZ
styrenes,NNS
stool,NN
stramonium,NN
stoop,VB
steiner,NP
stepwise,RB
stooges,NPS
streetcars,NNS
stance,NN
stanch,JJ
stallion,NN
stared,VBD
stumbling-block,NN
studio,NN
stair-well,NN
stirrup,NN
stares,NNS
strong,JJ
stooooomp,VB
stresses,NNS
strewn,VBN
stair,NN
stevie,NP
study,NN
stretching,VBG
stipulates,VBZ
storefront,NN
stone-still,JJ
stella,NP
stomachs,NNS
street's,NN$-TL
stockroom,NN
stiffness,NN
stressed,VBD
sturbridge,NP-TL
studies,NNS
stalin's,NP$
stubbed,VBN
sticking,VBG
stained,VBD
stonestown,NP
stray,JJ
statewide,RB
straw,NN
strolling,VBG
stuffing,VBG
strap,NN
steele's,NP$
stram,NP
stings,NNS
stern,NN
starlight,NN
staple,NN
stingy,JJ
staminate,JJ
standing,VBG
strapped,VBN
streetcar,NN
storekeepers,NNS
stream-of-consciousness,NN
strauss,NP-TL
statistique,FW-JJ-TL
statesmanship,NN
storeria,NP
strike,VB
stalingr,NP
stanislas',NP$
stirups,NNS
standardized,VBN
stolidly,RB
stylistic,JJ
started,VBD
statutes,NNS
stephens,NP
stans,NP
stressing,VBG-HL
steadfastly,RB
stethoscope,NN
stick,NN
stochastic,JJ
straight-haired,JJ
striving,VBG
stain,VB
starter,NN
stafford,NP
standin',VBG
stationmaster,NN
stettin,NP
stone-gray,JJ
stubblefields,NPS
strategically,RB
statuto,FW-NN-TL
streptococcus,NP
stenton,NP
stabilizes,VBZ
stature,NN
stendler,NP
stimulating,JJ
stoll,NP
streak,NN
stubborn,JJ
streamed,VBD
stream,NN
stated,VBN
stacking,VBG
stetson,NP
stallings,NP
staten,NP-TL
stanhope,NP
states,VBZ
stroke,NN
stupidities,NNS
streamer,NN
stockbroker,NN
steward,NN
stole,VBD
still-dark,JJ
stemmed,VBD
staunton,NP-TL
stripe,NN
statisticians,NNS
struggles,VBZ
stayed,VBD
stills,NNS
strikingly,RB
standstill,NN
stupidity,NN
stanislas,NP
strong-made,JJ
strays,NNS
stock,NN
staying,VBG
stammered,VBD
staircase,NN
strokes,NNS
stravinsky,NP
steadily,RB
stainless,JJ
stidger,NP
stipulate,VB
strategists,NNS
statuary,NN
student-directed,JJ
stimulates,VBZ-NC
stronghold,NN
stress,NN
stalins,NPS
stupidly,RB
steinhager,NP
straps,NNS
strutting,VBG
stannard,NP
stevedore,NN
strippers,NNS
standard-times,NP-TL
stocky,JJ
staining,NN
stamped,VBD
stratagem,NN
stains,NNS
steel's,NN$-TL
staginess,NN
stumpy,JJ
stoicism,NN
stewardship,NN
stability,NN
strove,VBD
sturch,NP
statistical,JJ
still-building,JJ
still,JJ
stepmother,NN
style,NN
startled-horse,NN
stevens,NP
state's,NN$
stopover,NN
step-cone,NN
stances,NNS
straggled,VBD
stalled,VBD
strafe,FW-VB
stephen,NP
stalemate,NN
sterility,NN
stabilities,NNS
stavropoulos',NP$
sterios,FW-JJ-NC
stabilizers,NNS
sterilization,NN
state-law,NN
steiners,NPS-NC
stout,JJ
stoneware,NN
steprelationship,NN
struggling,VBG
strive,VB
stewed,VBN
stunts,NNS
stopper,NN
sternum,NN
stabilize,VB
stir,VB
strayed,VBD
stragglers,NNS
stiles,NP
stratford's,NP$
streamside,NN
stopped,VBD
strangers',NNS$
strode,VBD
status,NN
stalling,VBG
stressful,JJ
stonehenge,NP-TL
stern-to,RB
strip,NN
staff's,NN$
stronger,JJR
stubblefield,NP
static,JJ
stepmothers,NNS
stewardesses,NNS
strychnine,NN
steadier,JJR
stimulants,NNS
steered,VBD
stitch,NN
stringed,VBN
stanbury,NP
stock's,NN$
stub,NN
stockgrowers',NNS$-TL
stupid,JJ
stud,NN
stage-plays,NNS
stanley's,NP$
stitches,NNS
strindberg's,NP$
stunningly,RB
stare,NN
stewards,NNS
stews,NNS
state,NN
stepped-up,JJ
strata,NNS
standard,JJ
struggle,NN
stealin',VBG
straightened,VBN
stairwells,NNS
stengel's,NP$
steering,VBG
staiger,NP
stearns,NPS
standby,NN
starts,VBZ
stampede,NN
stillbirths,NNS
steroids,NNS
stride,NN
stabilizing-conserving,JJ
stamping,VBG
stickler,NN
stalinist,NP
strapping,JJ
stimulate,VB
stench,NN
stewart,NP
staggered,VBD
student,NN
stabs,NNS
striking,VBG
strategic,JJ
straining,VBG
starkey,NP
stultifying,VBG
sternal,JJ
story,NN
stocking,VBG
straight-out,JJ
strasbourg,NP-TL
start,VB
st.,NN-TL
structured,VBN
striding,VBG
stumpage,NN
stiffened,VBD
stimulation,NN
station,NN
stifled,VBN
stuffed,VBN
streetlight,NN
structural,JJ
stroked,VBN
steamily,QL
store,NN
station's,NN$
stomach,NN
statement,NN
stomack,NN
streaked,VBD
starr,NP
stylized,VBN
stanchest,JJT
straw-colored,JJ
stifle,VB
stairs,NNS
stirs,VBZ
stumping,VBG
steel,NN
states-yugoslav,NP-TL
sturley,NP
steed,NN
structures,NNS
stall,NN
stratified,VBN
stallion's,NN$
stale,JJ
steep,NN
stimuli,NNS
steer,NN
steelmaker,NN
strengthen,VB
stomping,VBG
state-local,JJ
stress-temperature,NN
stubbs,NP
stiff-backed,JJ
stratosphere,NN
stable-garage,NN
stigma,NN
straddled,VBD
staggeringly,RB
stolid,JJ
sterilized,VBN
strength,NN
studying,VBG
steamboat,NN
stram's,NP$
steinkerque,NP
strengths,NNS
strengtened,VBN
sterns,NNS
straightening,VBG
student's,NN$
statu,FW-NN
streeters,NPS
steady-state,NN
stormed,VBD
stranahan,NP-TL
starched,VBN
stately,JJ
statute,NN
stereo,JJ
sturdy,JJ
stranded,VBN
steady,JJ
status-roles,NNS
stavropoulos,NP
storm,VB
storyline,NN
stilts,NNS
stockings,NNS
staunchest,JJT
