term,tag
trenton,NP
tribunals,NNS
tripartite,JJ
transversally,RB
trolley,NN
trampling,NN
tr,NN
tradesmen,NNS
trousers,NNS
transducers,NNS
tradition-minded,JJ
translations,NNS
trough,NN
tris,NP
trouble,NN
treating,VBG
transmission,NN
try,VB
trespasses,NNS
trohan,NP
trite,JJ
triumph,NN
transgressed,VBD
trichinella,NP
trend,NN
trails,NNS
tricolor,NN
translating,VBG
transvestitism,NN
traveling,VBG
trapping,VBG
transplanted,VBN
transforms,VBZ
trinket,NN
traineeships,NNS
tribute,NN
troyes,NP
transportation,NN
traders',NNS$
trekked,VBD
tracks,NNS
travelin',VBG
trunk,NN
tremor,NN
tractarians,NPS
tragedy,NN
trustees',NNS$-TL
trenchermen,NNS
tropics,NNS
trackdown,NP
trinidad,NP
trial,NN
tranquilizers,NNS
triad,NN
tropho-,JJ
tragedians,NNS
triple-tank,NN
truism,NN
transit,NN
trachea,NN
trianon,NP-TL
tracking,VBG
trousers-pockets,NNS
trained,VBD
traversing,VBG
transplant,VB
troops,NNS
tracings,NNS
transferor's,NN$
tryin,VBG
travesty,VB
transversus,NN
transience,NN
trait,NN
traceable,JJ
tri-state,JJ-TL
trail,NN
train,NN
transfusions,NNS
tribunal,NN
transmissible,JJ
tremendously,RB
tropidoclonion,NN
tri-iodothyronine,NN
transparency,NN
tracing,VBG
transcend,VB
trump,VB
transpired,VBN
transferral,NN
truth-revealing,JJ
trumpet,NN
truckdriver,NN
trill,NN
travel,VB
trophies,NNS
traders,NNS
transfers,NNS
trollop,NN
truthful,JJ
tried,VBD
transforming,VBG
trustee's,NN$
treatments,NNS
triumphs,NNS
tries,VBZ
trickling,VBG
tramway,NN
trapdoors,NNS
trifling,VBG
transposed,VBN
trickle,NN
truck's,NN$
transcultural,JJ
trembling,VBG
trellises,NNS
truck,NN
treasury's,NN$-TL
truce,NN
trichloroacetic,JJ
tripolyphosphate,NN
trans-atlantic,JJ
trevelyan,NP
tricked,VBN
trade,NN
transferor,NN
trifle,NN
trend-following,JJ
trempler,NP
troubles,NNS
treece,NP
trager,NP
troubleshooter,NN
travelling,VBG
troubled,VBN
trail-worn,JJ
truest,JJT
trenchant,JJ
trevelyan's,NP$
transparent,JJ
transmitter,NN
trucks,NNS
trimmer,NP
trailed,VBD
traced,VBN
truths,NNS
trans-lingually,RB
transplanting,VBG
trimmed,VBN
transmitted,VBN
trap,NN
truth,NN
tray,NN
trailer,NN
transcribe,VB
treacherous,JJ
trimble,NP
treasonable,JJ
trading,VBG
tragicomic,JJ
transitions,NNS
truant,JJ
travels,NNS-TL
trade-preparatory,JJ
trumpeter,NN
traitorous,JJ
trooper,NN
triptych,NN
trusts,NNS-HL
treading,VBG
trauma,NN
troopship,NN
tractors,NNS
triphenylarsine,NN
trademarks,NNS
training,NN
triol,NN
tractor-trailer,NN
transition,NN
trade-mark,NN
trial-book,NN
traditionalists,NNS-TL
trans-political,JJ
trapdoor,NN
truthfulness,NN
treetops,NNS
tributes,NNS
traveled,VBD
transcendence,NN
traveler,NN
trundling,VBG
truthfully,RB
trisodium,NN
triple-crown,NN
trillion,CD
traveller,NN
transaminase,NN
transcendent,JJ
tragic,JJ
tribe's,NN$-TL
travelled,VBD
triple-checked,JJ
treasured,VBN
trapped,VBN
transistor,NN
transverse,JJ
trapper,NN
treasurer,NN
treasures,NNS
traditionnel,FW-JJ
translation,NN
tribune's,NN$-TL
trek,NN
treatise,NN
tree,NN
transferred,VBN
truth-packed,JJ
trafton's,NP$
transgression,NN
transducer,NN
transcendant,JJ
tredding,NP
treated,VBD
tractor,NN
trudged,VBD
tris(hydroxymethyl)-aminometha,NN
troublesome,JJ
tracts,NNS
trusting,JJ
tregnums,NPS
traditionally,RB
trance,NN
transference,NN
transcribed,VBN
transmit,VB
trivia,NNS
trace,NN
transactions,NNS
track,NN
troughs,NNS
traditionalist,NN
transpirating,VBG
translator,NN
tract,NN
transcript,NN
trusteeship,NN
treasonous,JJ
trigonal,JJ
troubie,NN
trembles,VBZ
trotter,NN
treaty-making,NN
treaty,NN
traditional,JJ
triphenylphosphine,NN
trichrome,JJ
trobles,NNS
trotted,VBD
trip-hammer,NN
treasuries,NNS
tragically,RB
tranquilizer,NN
trustfully,RB
treaties,NNS
troy,NP-TL
traitor,NN
trivial,JJ
trolls,NNS
trot,NN
transact,VB
treasure,NN
triphenylstibine,NN
traditionalized,VBN
tribulation,NN
transcendental,JJ
treasury,NN-TL
tropic,NN-TL
triangle,NN
tracers,NNS
tramped,VBD
trees,NNS
truly,QL
transitional,JJ
transposition,NN
trafton,NP
trim-your-own-franks,NNS-HL
true-false,JJ
trammel,VB
traversed,VBD
troop,NN
troeltsch,NP
transistors,NNS
truer,JJR
traverse,VB
transpiration,NN-HL
trichieri,NP
trench,NN
transcendentalism,NN-TL
trances,NNS
trusteth,VBZ
transfered,VBN
transferee,NN
triplet,NN
tristan,NP
transluscent,JJ
trustingly,RB
tripled,VBN
tramp,NN
travellers,NNS
tr.'s,NP$
tranquillity,NN
trickster,NN-TL
trader,NN
trades,VBZ
trotsky,NP
trouble-shooter,NN
truckee,NP-TL
traded,VBN
triservice,NN
tropez,NP
trust,NN
trays,NNS
tread,VB
transylvania,NP-TL
triviality,NN
tremendous,JJ
troupes,NNS
trilogy,NN
trademark,NN
tropical,JJ
transcription,NN
trigger,NN
treat,VB
troopers,NNS
trinity,NP
transferring,VBG
transatlantic,JJ
trigger-happy,JJ
trinitarian,JJ
tribal,JJ
tristano,NP
trick,NN
trundle,NN
transcripts,NNS
trees',NNS$
trackless,JJ
trumped-up,JJ
trabb,NP
transom,NN
triple,JJ
tribesmen,NNS
trusted,VBN
trustee,NN-TL
tri-motor,NN
trailing,VBG
tripoli,NP
transients,NNS
triumphantly,RB
trumps,NNS
trastevere,NP
trawler,NN
tradition,NN-TL
transaction,NN
traps,NNS
trapp,NP
trikojus,NP
tropocollagen,NN
trains,NNS
transshipment,NN
trujillos,NPS
traditions,NNS
trilled,VBD
transmitting,NN
truculent,JJ
transporting,VBG
trestles,NNS
trimmings,NNS
transformer,NN
trespassed,VBN
trestle,NN
trampled,VBN
transformed,VBN
treatment,NN
tremulously,RB
transformation,NN
trimming,VBG
trinkets,NNS
traditionalistic,JJ
trigg,NP
troika,FW-NN
traffic,NN
trapper's,NN$
transcended,VBD
translucent,JJ
triplication,NN
truculence,NN
translates,VBZ
translated,VBD
tribes,NNS
travelogue,NN
traxel,NP
transmittable,JJ
traitors,NNS
truncated,VBN
tragedies,NNS
transcendentalists,NNS-TL
traits,NNS-TL
trends,NNS
trinitarians,NPS
trucker,NN
trujillo,NP
transversely,RB
