term,tag
twigged,VBD
two-dimensional,JJ
two-bits',NNS$
tweedy,JJ
twelve-hour,JJ
two-season,JJ
twenty-three,CD
two-record,JJ
two-term,JJ
two-room,JJ
twister-coners,NNS
twinges,NNS
twenty-five-year-old,JJ
tweed,NN
two-way,JJ
twentieth-century,NN
twilight,NN
twittered,VBD
twenty-nine-foot-wide,JJ
twice,RB
twins',NNS$
two-timed,VBN
two-mile,JJ
twelve,CD
two-week,JJ
two-family,JJ
two-nosed,JJ
twirling,VBG
twain's,NP$
twittering,VBG
two-fold,JJ
twinkle,NN
two-hour,JJ
tweezed,VBN
twins,NNS-TL
twenty-five,CD
twice-a-year,JJ
two-component,JJ
twinkling,VBG
twentieth,OD-TL
twenty-second,OD-TL
twenty-five-dollar,JJ
twenty-seven,CD
twenty-fifth,OD
twitch,NN
twenty-one-year-old,JJ
twenty-six,CD
twenty-two,CD
two-seaters,NNS
two-day,JJ
twisted,VBN
twin,NN
two-weeks,NNS
twitched,VBD
two-and-a-half-mile,JJ
two-year,JJ
two-story,JJ
twenty,CD
two-inch,JJ
twirler,NN
two,CD
twain,NP
twenties,NNS
two-timing,VBG
twirled,VBN
twister,NN
twenty-eight,CD
two-by-fours,NNS
two-colored,JJ
two-head,NP
two-digit,JJ
twinge,NN
twirlingly,RB
two-part,JJ
two-game,JJ
two-bedroom,JJ
two-thirds,NNS
two-disc,JJ
twotiming,VBG
two-by-four,NN
two-inches,NNS
twenty-one,CD
twenty-dollar,JJ
twigs,NNS
two-class,JJ-HL
two-system,JJ
twenty-year,JJ
twos,NNS
twenty-four,CD
twisty,JJ
twise,RB
twists,NNS
two-burner,JJ
twist,NN
twofold,JJ
two-color,JJ
twitching,VBG
twenty-eighth,OD
two-tail,JJ
twelfth,OD
two-year-old,NN
twosome,NN
two-run,JJ
twelve-year,JJ
twenty-page,JJ
twenty-first,OD
twined,VBD
two-fisted,JJ
twenty-nine,CD
twelve-year-old,JJ
two-lane,JJ
two-to-three,CD
two-stem,JJ-TL
twenty-first-century,NN
twice-around,NN
twisting,VBG
two-line,JJ
two-valued,JJ
twenty-mile,JJ
two-step,JJ
