term,tag
voluble,JJ
volts,NNS
voltage,NN
volta,NP
voids,VBZ
votes,NNS
voter,NN
voiceless,JJ
vomica,NN
vowel-length,NN-TL
voltmeter,NN
vociferous,JJ
void,NN
vowels,NNS
vouchers,NNS
voltaire's,NP$
vocalic,JJ
voyageurs,FW-NNS
vortex,NN
vouillemont,NP
volcano,NN
voluntarily,RB
vouchsafes,VBZ
vogue,NN
volcanos,NNS
vonnegut's,NP$
vociferously,RB
volley-ball,NN
vocalists,NNS
voyage,NN
vocation,NN
voluntary,JJ
voume,NN
volatile,JJ
volare,NP
volkenstein,NP
volker,NP
voluptuous,JJ
vows,VBZ
voltages,NNS
vomiting,VBG
voiture,NP-TL
volunteering,VBG
vouching,VBG
vociferousness,NN
vocationally,RB
volley,NN
volumetrically,RB
volksgeist,FW-NN
volcanic,JJ
vote,NN
volunteered,VBN
vocalize,VB
votive,JJ
volumetric,JJ
volstead,NP-TL
voted,VBN
vous,FW-PPSS
volta's,NP$
vopos,FW-NNS
vol.,NN-TL
vowing,VBG
volume,NN
volunteer,VB
volatilization,NN
vocabularies,NNS
vocal,JJ
voluminous,JJ
vocals,NNS
voice,NN
voters,NNS
vom,NP
von,NP
vos,FW-PP$
voices,NNS
vow,NN
voluntary-control,NN
voroshilov,NP
voiced,VBD
volition,NN
voegelin,NP
vocational-advancement,NN
voltaire,NP
vocational,JJ
voltaic,JJ
voyager,NN
voyages,NNS
voorhees,NP
vocalism,NN
voice's,NN$
vocabulary,NN
voraciously,RB
vocalization,NN
volens,FW-VBG
vowel,NN
vocalist,NN
vowed,VBD
voting,VBG
volney,NP
voce,FW-NN
volleyball,NN
vocabularianism,NN-TL
volumes,NNS
volkswagens,NPS
voodoo,NN
vocally,RB
volunteers,NNS
voulez,FW-VB
