term,tag
yachters,NNS
yale-army,NP
ya,PPSS
yachtsmen,NNS
yalagaloo,UH
yassuhs,NNS
yachts,NNS
yapping,VBG
yardumian,NP
yarrow,NP
yachtsman,NN
yanked,VBD
yankee,NP
yankee-hatred,NN
yawning,VBG
yaks,NNS
yankees',NPS$-TL
yachtel,NN
yamata,NP
yaddo,NP
yardstick,NN
yamabe,NP
yalta,NP-TL
yaqui,NP
yanks,NPS
yarns,NNS
yankton,NP
yakima,NP
yaws,NNS
yardage,NN
yale's,NP$
yawn,NN
yanking,VBG
yawl,NN
yankeefication,NP-TL
yards,NNS
yachtels,NNS
yahwe,NP
yancey-6,NP
yakov,NP
yard,NN
yanks',NPS$
yachting,VBG
yacht,NN-TL
yarn,NN
yancy-6,NP
yang,NP
yale,NP
yank,NP
yalies,NPS
yankees,NPS
