term,tag
youngster's,NN$
yooee,UH
you'd,PPSS+MD
younguh,JJR
yourself,PPL
york-born,JJ
yoknapatawpha,NP-TL
yokel,NN
your,PP$
yosemite,NP
yoneda,NP
you're,PPSS+BER
yore,NN
yorkers,NPS-TL
yonkers,NP
young's,NP$
yoga,NN
yogi,NP
young,JJ
yokosuka,NP
yonder,RB
yongst,JJT
york-mind,JJ
youngster,NN
yow,PPSS
you,PPSS
yok.,NP
yoshimoto's,NP$
yon,RB
york's,NP$-TL
youngsters,NNS
yoorick,NP
youngest,JJT
yoke,NN
york,NP-TL
yori,FW-NNS
yokels,NNS
yourselves,PPLS
yolk,NN
yodeling,VBG
yorker's,NP$
youngish,JJ
younger,JJR
you'uns,PPSS
you's,PPSS+BEZ
yokuts,NP
youths,NNS
yorktown,NP-TL
youth,NN
you'll,PPSS+MD
yodel,NN
yorker,NP-TL
york-pennsylvania,NP-TL
yours,PP$$
youthful,JJ
you've,PPSS+HV
