term,tag
acid-rain,NN
accusing,VBG
acne,NN
achieved,VBN
acquired,VBN
accurate,JJ
acquires,VBZ
accessories,NNS
acetate,NN
accidentally,RB
accommodate,VB
accountability,NN
accepting,VBG
accused,VBN
accounts,NNS
actually,RB
accumulated,VBN
aces,VBZ
accounting,VBG
actress,NN
activity,NN
acquirer,NN
academics,NNS
acceleration,NN
academically,RB
acknowledge,VB
ackerman,NNP
acts,NNS
accountant,NN
actor,NN
acres,NNS
access,NN
acting,JJ
accounted,VBN
accept,VBP
acre,NN
acquirers,NNS
acceptance,NN
ac-130u,NN
across,IN
achieve,VB
acknowledging,VBG
activities,NNS
accord,NN
acceptances,NNS
accrue,VB
acquire,VB
acceded,VBD
accurately,RB
accommodations,NNS
accountants,NNS
action,NN
accomplishments,NNS
accident,NN
actions,NNS
active,JJ
acquiring,VBG
acted,VBD
accepted,VBN
achievement,NNP
acquisitions,NNS
acute,JJ
account,NN
acknowledges,VBZ
actual,JJ
accordance,NN
achievement-test,NN
accompany,VB
according,VBG
acquisition-minded,JJ
achieving,VBG
academic,JJ
accelerated,VBD
actively,RB
acid,JJ
act,NN
accrued,VBN
accidents,NNS
acquisition,NN
abortions,NNS
absolutely,RB
abortionist,NN
abbot,NNP
absurdity,NN
absolute,JJ
aba,NNP
above-market,JJ
able,JJ
abide,VB
absorbed,VBN
above,IN
abating,VBG
abortion-related,JJ
aboard,IN
ability,NN
abuse,NN
abridging,VBG
abroad,RB
about,IN
abandoned,VBN
abortion,NN
abounding,VBG
abrupt,JJ
absurd,JJ
abuzz,JJ
abandon,VB
abolishing,VBG
abbey,NNP
aerojet,NNP
aerospace,NN
aesthetic,JJ
advisory,NN
addressing,VBG
adjustable,JJ
addresses,NNS
administration,NN
address,NN
adjusted,VBN
advertorial,JJ
administrator,NN
advertised,VBN
administer,VB
advertisers,NNS
additions,NNS
adjustment,NN
adequately,RB
advancing,VBG
ad,NN
adding,VBG
adds,VBZ
additional,JJ
advantage,NN
addition,NN
advertisements,NNS
adopted,VBD
adverse,JJ
add,VB
administrations,NNS
administrative,JJ
adjusting,VBG
adam,NNP
adjustments,NNS
adviser,NN
adrs,NNS
added,VBD
advertise,VB
advances,NNS
advice,NNP
advocate,VBP
adolph,NNP
admitting,VBG
adams,NNP
administrators,NNS
advantages,NNS
adult,NN
advised,VBN
adults,NNS
advocating,VBG
addiction,NN
adequate,JJ
advanced,VBN
ads,NNS
adapting,VBG
advance,NN
advocated,VBD
admits,VBZ
adopt,VB
advent,NN
admitted,VBD
advocates,NNS
advertising,NN
adopting,VBG
adapted,VBD
advise,VBP
ag,NNP
agreed,VBN
aghast,JJ
aggravated,VBD
agents,NNS
agricultural,JJ
aggressive,JJ
agriculture,NNP
agrees,VBZ
again,RB
agreed-upon,JJ
agreeing,VBG
agency,NN
agreements,NNS
agreement,NN
agencies,NNS
ago,IN
aggressively,RB
age,NN
against,IN
agenda,NN
agnew,NNP
agree,VBP
affordable,JJ
affairs,NNS
afraid,JJ
afterwards,RB
