term,tag
acid-rain,NN
accusing,VBG
acne,NN
achieved,VBN
acquired,VBN
accurate,JJ
acquires,VBZ
accessories,NNS
acetate,NN
accidentally,RB
accommodate,VB
accountability,NN
accepting,VBG
accused,VBN
accounts,NNS
actually,RB
accumulated,VBN
aces,VBZ
accounting,VBG
actress,NN
activity,NN
acquirer,NN
academics,NNS
acceleration,NN
academically,RB
acknowledge,VB
ackerman,NNP
acts,NNS
accountant,NN
actor,NN
acres,NNS
access,NN
acting,JJ
accounted,VBN
accept,VBP
acre,NN
acquirers,NNS
acceptance,NN
ac-130u,NN
across,IN
achieve,VB
acknowledging,VBG
activities,NNS
accord,NN
acceptances,NNS
accrue,VB
acquire,VB
acceded,VBD
accurately,RB
accommodations,NNS
accountants,NNS
action,NN
accomplishments,NNS
accident,NN
actions,NNS
active,JJ
acquiring,VBG
acted,VBD
accepted,VBN
achievement,NNP
acquisitions,NNS
acute,JJ
account,NN
acknowledges,VBZ
actual,JJ
accordance,NN
achievement-test,NN
accompany,VB
according,VBG
acquisition-minded,JJ
achieving,VBG
academic,JJ
accelerated,VBD
actively,RB
acid,JJ
act,NN
accrued,VBN
accidents,NNS
acquisition,NN
