term,tag
advisory,NN
addressing,VBG
adjustable,JJ
addresses,NNS
administration,NN
address,NN
adjusted,VBN
advertorial,JJ
administrator,NN
advertised,VBN
administer,VB
advertisers,NNS
additions,NNS
adjustment,NN
adequately,RB
advancing,VBG
ad,NN
adding,VBG
adds,VBZ
additional,JJ
advantage,NN
addition,NN
advertisements,NNS
adopted,VBD
adverse,JJ
add,VB
administrations,NNS
administrative,JJ
adjusting,VBG
adam,NNP
adjustments,NNS
adviser,NN
adrs,NNS
added,VBD
advertise,VB
advances,NNS
advice,NNP
advocate,VBP
adolph,NNP
admitting,VBG
adams,NNP
administrators,NNS
advantages,NNS
adult,NN
advised,VBN
adults,NNS
advocating,VBG
addiction,NN
adequate,JJ
advanced,VBN
ads,NNS
adapting,VBG
advance,NN
advocated,VBD
admits,VBZ
adopt,VB
advent,NN
admitted,VBD
advocates,NNS
advertising,NN
adopting,VBG
adapted,VBD
advise,VBP
