term,tag
all,DT
already,RB
almost,RB
all-cash,JJ
altruistic,JJ
al,NNP
alive,JJ
ala,NNP
alvin,NNP
alliance,NNP
alert,NN
aloha,NNP
allowed,VBN
allen,NNP
alternative,NN
allocated,VBN
albany,NNP
alarmed,VBN
alcohol,NN
also,RB
alysia,NNP
alleged,VBN
alternatives,NNS
altair,NNP
alleghany,NNP
altar,NN
alcoholism,NN
altered,VBN
alfred,NNP
allegedly,RB
alstyne,NNP
allegations,NNS
albert,NNP
alerts,VBZ
alan,NNP
albuquerque,NNP
allocation,NN
allendale,NNP
alcoholics,NNS
alzheimer,NNP
ala.,NNP
although,IN
altogether,RB
alone,RB
along,IN
alurralde,NNP
alexander,NNP
alienated,VBN
allies,NNS
altering,VBG
always,RB
alleging,VBG
alumni,NNS
allied,NNP
allow,VB
alternatively,RB
alleviate,VB
allergan,NNP
alike,RB
