term,tag
and,CC
angola,NNP
ana,NNP
anti-abortionists,NNS
anti-abortion,JJ
ann,NNP
anyway,RB
an,DT
anxieties,NNS
ancestry,NN
anticipating,VBG
another,DT
anne,NNP
anger,NN
andrea,NNP
anglian,JJ
any,DT
angelo,NNP
announcement,NN
ancient,NNP
angle,NN
anti-miscarriage,JJ
andersson,NNP
announcer,NN
angry,JJ
andean,JJ
anderson,NNP
angier,NNP
anti-program,JJ
anyone,NN
answered,VBN
anti-drug,JJ
anywhere,RB
andy,NNP
angered,VBD
antitrust,JJ
answer,NN
announce,VB
ankle,NN
analyze,VB
angels,NNPS
announced,VBN
anemic,JJ
anglia,NNP
antitrust-law,JJ
anti-dumping,JJ
andrew,NNP
answers,NNS
anticipated,VBN
anthony,NNP
ancillary,JJ
anticipation,NN
anecdotal,JJ
anku,NNP
anticipates,VBZ
anti-takeover,JJ
analyst,NN
antinori,NNP
anything,NN
anti-deficiency,NNP
anxious,JJ
anytime,RB
annual,JJ
anybody,NN
analysis,NN
antonio,NNP
annually,RB
annualized,JJ
angeles,NNP
analysts,NNS
anti-china,JJ
anti-programmers,NNS
annoyed,VBD
anti-morning-sickness,JJ
