term,tag
appeals,NNS
appease,VB
appliances,NNS
appeared,VBD
apprehensive,JJ
appearing,VBG
appropriate,JJ
aptitude,NNP
apologize,VB
apply,VB
appetite,NN
apparently,RB
apple,NN
apartment,NN
appear,VBP
approximately,RB
approved,VBN
application,NN
appellate,NNP
appointed,VBN
appeal,VB
approach,NN
appoint,VB
applicability,NN
appointment,NN
approached,VBD
applaud,VBP
approves,VBZ
apparent,JJ
applicable,JJ
applications,NNS
approaches,NNS
appropriation,NN
approval,NN
appears,VBZ
apart,RB
applied,VBN
appropriators,NNS
appropriated,VBN
apologizing,VBG
apology,NN
appreciation,NN
appropriations,NNS
appliance,NN
appointments,NNS
april,NNP
appealing,VBG
apples,NNS
apiece,RB
apparel,NN
approve,VB
