term,tag
arafat,NNP
art,NN
arighi,NNP
ariail,NNP
arbitragers,NNS
arrested,VBN
arbitrage-related,JJ
arraignments,NNS
argument,NN
argues,VBZ
arabia,NNP
arrangements,NNS
are,VBP
arise,VBP
argued,VBD
arbitrage,NN
array,NN
ark,NNP
armed,VBN
arm,NN
arbitrager,NN
arts,NNS
arsenide,NN
area,NN
arlington,NNP
arbitraging,VBG
arms,NNS
arrangement,NN
arrest,VB
arabian,NNP
arguments,NNS
ariz.,NNP
argentina,NNP
argentine,JJ
arrival,NN
arizona,NNP
around,IN
arguing,VBG
architects,NNS
arrived,VBD
architectural,JJ
article,NN
arbs,NNS
areas,NNS
articles,NNPS
arrive,VB
arranged,VBD
arched,JJ
artist,NNP
army,NNP
arrows,NNS
arnold,NNP
arthur,NNP
architect,NN
architecture,NN
argue,VBP
arising,VBG
