term,tag
attorney,NNP
athletic,JJ
attractions,NNS
atmosphere,NN
attorneys,NNS
attitude,NN
at,IN
atlanta-based,JJ
attract,VB
attendance,NN
attempting,VBG
attracted,VBN
attack,NN
attractive,JJ
attorney-client,JJ
attended,VBD
attend,VB
attempted,VBD
attention,NN
attending,VBG
atlantic,NNP
at&t,NNP
atlanta,NNP
attempt,VB
attwood,NNP
attacks,NNS
attracts,VBZ
attached,VBN
attempts,VBZ
attributed,VBD
atsushi,NNP
attributes,VBZ
attacking,VBG
attracting,VBG
