term,tag
aug.,NNP
audiocassettes,NNS
automated,VBN
authority,NN
autumn,NN
austria,NNP
austrian,JJ
auspices,NNS
authorizes,VBZ
author,NN
automobile,NN
auditors,NNS
authorized,VBD
automotive,JJ
australian,NNP
australia,NNP
august,NNP
auto,NN
aurora,NNP
automotive-lighting,JJ
automation,NN
automobiles,NNS
auctioned,VBN
authors,NNS
authorities,NNS
auto-safety,JJ
automotive-parts,JJ
audit,NN
austere,JJ
augment,VB
autos,NNS
auction,NN
austin,NNP
authorizing,VBG
audience,NN
auditor,NN
auctions,NNS
autions,NNS
automatic,JJ
