term,tag
big-ticket,JJ
binders,NNS
biannual,JJ
billings,NNS
bias,NN
birmingham,NNP
bidders,NNS
billion-dollar,JJ
bit,NN
billing,NN
biedermann,NNP
binge,NN
birds,NNS
bicameral,JJ
bilingual,JJ
billionaire,NN
biggest,JJS
biscayne,NNP
bin,NN
big,JJ
bid,NN
billions,NNS
bidding,NN
big-time,JJ
billed,VBD
bigger,JJR
biaggi,NNP
billion,CD
bilateral,JJ
bickering,NN
bitter,JJ
biscuit,NN
bill,NN
bids,NNS
bitterness,NN
biondi-santi,NNP
bills,NNS
bidder,NN
