term,tag
borrowed,VBN
bougainville,NNP
bowl,NNP
boomers,NNS
bolduc,NNP
boston,NNP
bowman,NNP
boca,NNP
bounce,VB
boosters,NNS
booklets,NNS
boilers,NNS
books,NNS
borrowings,NNS
bomb,NN
borough,NNP
bolstered,VBN
boosts,VBZ
bounced,VBD
bolster,VB
bon,NNP
bomber,NN
bottles,NNS
bottom,NN
boulder,NNP
bolivia,NNP
botched,JJ
boy,NN
bombarding,VBG
boorse,NNP
bonuses,NNS
book,NN
borge,NNP
board,NN
booklet,NN
boom,NN
borders,NNS
booming,VBG
boost,VB
bombs,NNS
bought,VBD
body,NN
box,NN
bowed,VBD
bold,JJ
bonds,NNS
bonus,NN
boosted,VBD
bottlenecks,NNS
bowery,NNP
borrowers,NNS
bothered,VBD
boesel,NNP
boys,NNS
boogieman,NN
bowes,NNP
boosting,VBG
boone,NNP
bordeaux,NNP
bonnell,NNP
boarding,VBG
both,DT
booked,VBD
bout,NN
boeing,NNP
bodner,NNP
boast,VB
born,VBN
borrowing,NN
boots,NNS
bombers,NNS
bottom-line,JJ
bottle,NN
bob,NNP
boyfriends,NNS
boutique,NN
bone,NN
bond,NN
