term,tag
burdens,NNS
buses,NNS
bundling,VBG
bumkins,NNP
buy-outs,NNS
budget,NN
bulldozers,NNS
businessman,NN
businesses,NNS
bust,NN
buick,NNP
buildup,NN
budding,VBG
bucking,VBG
buoyed,VBN
burnham,NNP
buttoned-down,JJ
buyers,NNS
burlap,NN
built,VBD
building-products,NNS
buckle,NN
bundles,NNS
burgundy,NNP
bush,NNP
bureau,NNP
build,VB
buys,VBZ
butler,NNP
burned,VBN
bushels,NNS
bunny,NNP
bunches,NNS
butterfly,NN
bureaucracy,NN
buildings,NNS
buy,VB
business,NNP
burn,VBP
buffet,VB
bulls,NNS
bulk,NN
burt,NNP
buy-out,NN
but,CC
burden,NN
bull,NN
buyer,NN
built-from-kit,JJ
buying,NN
bund,NN
building,VBG
buck,NN
builds,VBZ
busiest,JJS
bushel,NN
burgundies,NNPS
bugs,NNP
bureaucratic,JJ
businessmen,NNS
buy-back,NN
bullets,NNS
buckhead,NNP
builders,NNPS
busloads,NNS
