term,tag
capitol,NNP
cabernets,NNPS
caused,VBN
cake,NN
carefully,RB
causes,NNS
cardiovascular,JJ
cast-iron,JJ
calculate,VB
candidate,NN
candidates,NNS
capital-gains,NNS
cautioned,VBD
careers,NNS
carolina,NNP
calif.,NNP
capsules,NNS
captivating,JJ
carefree,JJ
campaigner,NN
categories,NNS
cable,NN
calif,NNP
cascading,VBG
calling,VBG
capability,NN
cash-rich,JJ
candela,NNP
carlos,NNP
californian,NN
calif.-based,JJ
carter,NNP
canine,JJ
capitalized,VBN
car-care,JJ
captive,NN
carla,NNP
candlestick,NNP
cattle,NNS
cabs,NNS
canada,NNP
cargo,NN
capacity,NN
capital,NNP
cancers,NNS
cause,NN
campaign,NN
cars,NNS
car-safety,JJ
campaigns,NNS
carnegie-mellon,NNP
calder,NNP
california,NNP
carl,NNP
campbell,NNP
carbon,NN
carbide,NNP
car-development,NN
card,NN
care,NNP
cautious,JJ
carried,VBD
carnival,NNP
canadian,JJ
career,NN
catch-up,NN
casino,NN
carries,VBZ
carrier,NN
card-member,NN
cartilage,NN
castle,NN
cancellation,NN
cataract,NN
carney,NNP
cadet,NN
cambridge,NNP
cancer,NN
caretaker,NN
ca,MD
carlton,NNP
cane,NN
capped,JJ
carry,VB
carson,NNP
cardboard,NN
capitalize,VB
caught,VBN
cared,VBD
cash-flow,JJ
call,NN
calculations,NNS
cataracts,NNS
cabinet,NN
cards,NNS
carrying,VBG
catch,NN
cases,NNS
careful,JJ
case,NN
caldor,NNP
calls,VBZ
car,NN
caller,NN
cartoonist,NN
cash,NN
cask,NNP
cat,NNP
cast,VBN
cautiously,RB
can,MD
caveat,NN
cathryn,NNP
cab,NNP
called,VBN
cartons,NNS
cash-and-stock,JJ
calculator,NN
caustic,JJ
caution,NN
cathedral,NNP
campaigning,NN
campus,NN
calculated,VBN
cavernous,JJ
capture,VB
carriers,NNS
catch-22,NN
camille,NNP
causing,VBG
campeau,NNP
camilli,NNP
cara,NNP
category,NN
caters,NNP
catholic,NNP
canepa,NNP
camera,NN
carillons,NNS
cadmium,NN
cater,VBP
caribbean,NNP
cabbage,NNP
cap,NN
cabernet,NNP
cannell,NNP
casts,VBZ
casting,VBG
capitalism,NN
callers,NNS
capitalist,JJ
carballo,NNP
cancer-causing,JJ
came,VBD
capital-markets,JJ
