term,tag
chain,NN
cheat,VB
charles,NNP
charities,NNS
chabrol,NNP
children,NNS
chinese,JJ
chosen,VBN
chatter,NN
cheerleaders,NNS
character,NN
christie,NNP
charge,NN
choose,VB
championing,VBG
checking,NN
choice,NN
christopher,NNP
chilver,NNP
chips,NNS
church-goers,NNS
chairs,NNS
cheapest,JJS
chuck,NNP
christmas,NNP
chamber,NNP
chinchon,NNP
characterized,VBN
charter,NNP
chunk,NN
chinese-american,NNP
cheetham,NNP
choosing,VBG
chafic,NNP
chicago,NNP
childish,JJ
chaos,NN
churches,NNS
champagne,NNP
checks,NNS
christian,NNP
chose,VBD
chefs,NNS
chassis,NN
china,NNP
change,NN
chapter,NN
chatsworth,NNP
changed,VBD
champagnes,NNS
chrysler,NNP
chateau,NNP
changes,NNS
chopped,VBN
cheese,NNP
chaired,VBN
chooses,VBZ
church,NN
chunks,NNS
chicago-style,JJ
cheating,NN
chemplus,NNP
charts,NNS
checkbook,NN
chandler,NNP
chastised,VBD
champion,NNP
chilean,JJ
cheerleading,NN
chemicals,NNS
chile,NNP
child,NN
chong-sik,NNP
champions,NNS
chivas,NNP
chardonnay,NNP
challenge,VB
chalk,NN
change-ringing,NN
characterizing,VBG
chaplin,NNP
charlotte,NNP
challenging,VBG
chaotic,JJ
characteristics,NNS
chip,NN
chat,VB
check,VB
chase,VB
chauffeur,NN
chevrolet,NNP
chadha,NNP
chrysotile,NN
chemical,NN
chest,NN
chairman,NN
charging,VBG
channel,VBP
chary,JJ
chance,NN
charm,NN
characters,NNS
changing,VBG
chocolate,JJ
chilled,VBN
chiefly,RB
chronicle,NN
charges,NNS
charlie,NNP
cheaper,JJR
chiodo,NNP
chapman,NNP
chief,NN
charged,VBN
chardonnays,NNPS
