term,tag
claim,VB
cleanup,NN
classified,VBN
clinton,NNP
clark,NNP
classic,JJ
clarified,VBN
clause,NN
cleaned,VBN
closeness,NN
clippings,NNS
clubs,NNS
clean-up,JJ
climb,VB
clock,NN
cleveland,NNP
claimed,VBD
close,JJ
clothing,NN
clearly,RB
cloud,NN
clarence,NNP
closer,JJR
closing,NN
cleaner-burning,JJ
clicked,VBD
classical,JJ
clashed,VBN
claude,NNP
climate,NN
claiming,VBG
clamped,VBN
classes,NNS
closed,VBD
clobbered,VBN
clerics,NNS
cluttered,VBN
cluff,NNP
clannish,JJ
cleaner,JJR
classmates,NNS
clipped,VBD
closes,VBZ
club,NN
clara,NNP
close-up,NN
clearer,JJR
clarify,VB
closely,RB
clues,NNS
clerks,NNS
classifications,NNS
clemens,NNP
cleared,VBD
class,NNP
classroom,NN
clean-air,JJ
climbing,VBG
clearance,NN
clouds,NNS
clairton,NNP
closed-end,JJ
cloth,NN
clear,JJ
clients,NNS
clive,NNP
clays,NNP
cluster,NN
cleanliness,NN
claire,NNP
client,NN
climbed,VBD
clean,VB
clearing,VBG
clears,VBZ
claims,NNS
classed,VBN
classics,NNS
clouding,NN
clothes,NNS
