term,tag
criticism,NN
crises,NNS
creek,NNP
crowd,NN
crunch,NN
creativity,NN
criteria,NNS
creation,NN
crown,NNP
crib,NN
cross,NNP
creams,NNS
crook,NN
crusade,NN
cruise,NNP
crystals,NNS
cruising,VBG
crookery,NN
crew,NNP
crum,NNP
crisis,NN
craze,NN
crashing,VBG
crystal-lattice,NN
credit-rating,NN
creditor,NN
crowded,VBN
credibility,NN
create,VB
creator,NN
crucial,JJ
cray,NNP
crime,NN
critical,JJ
crying,VBG
crack,VB
crude,JJ
crackdown,NN
criminal,JJ
crocidolite,NN
creature,NN
cristal,NNP
crash,NN
creating,VBG
crashes,NNS
critics,NNS
crapshoot,NN
crews,NNS
crushed,JJ
crane-safety,NN
creator's,NN
criticized,VBD
credits,NNS
craft,VB
crop,NN
crippled,VBN
credentials,NNS
crane,NNP
cranked,VBD
cracks,NNS
cross-border,JJ
created,VBN
crops,NNS
cry,VBP
cru,NNP
creates,VBZ
credit,NN
creditworthiness,NN
crossed,VBN
cray-3,NNP
crossing,VBG
craftsmen,NNPS
creditors,NNS
crystal,NN
