term,tag
cute,JJ
current-carrying,JJ
curses,NNS
cuts,NNS
currency,NN
cure,VB
curb,VB
cultivated,VBN
cumbersome,JJ
cups,NNS
custom-chip,JJ
curled,VBD
cut,VBD
cues,NNS
curly,JJ
currently,RB
custom,NN
current,JJ
cue,NN
cultivation,NN
cullowhee,NNP
cutthroat,JJ
cup-tote,NNP
curtail,VB
cutbacks,NNS
customers,NNS
currencies,NNS
curriculum,NN
cutrer,NNP
curbing,VBG
cultural,JJ
curse,NN
cushion,NN
cult,NN
curbed,VBN
curtailed,VBD
customer,NN
culprit,NN
customized,VBN
cushioned,VBN
cuvees,NNS
cutting,VBG
curry,NNP
