term,tag
dallara,NNP
dailies,NNS
dashed,VBN
dances,NNS
darrell,NNP
day-to-day,JJ
dakota,NNP
dawn,NN
danube,NNP
darkhorse,NNP
damaged,VBN
dancing,NN
dams,NNS
daniels,NNP
damage,NN
danforth,NNP
daniel,NNP
dairy,NN
damages,NNS
danville,NNP
damn,RB
dating,VBG
dashes,NNS
dale,NNP
dahl,NNP
dam,NN
dan,NNP
dark,JJ
dana-farber,NNP
dakotas,NNPS
date,NN
data,NNS
day,NN
datapoint,NNP
darned,RB
dai-ichi,NNP
dallas,NNP
day-care,JJ
days,NNS
daily,JJ
david,NNP
daiwa,NNP
davies,NNP
damaging,JJ
daughters,NNS
davis,NNP
davenport,NNP
danzig,NNP
