term,tag
despise,VB
debenture,NN
deviation,NN
devote,VB
developed,VBN
demand,NN
desirable,JJ
defended,VBD
deadline,NN
deterring,VBG
decisions,NNS
debate,VB
decade,NN
developer,NN
devoted,VBD
death,NN
depend,VB
depended,VBD
decay,NN
delays,NNS
debts,NNS
demographic,JJ
deposits,NNS
denver,NNP
desktop,NN
derchin,NNP
degrees,NNS
designers,NNS
decade-long,JJ
derivative,JJ
deducting,VBG
decades,NNS
deviant,JJ
dec.,NNP
definitive,JJ
demands,NNS
devised,VBD
de,IN
designated,NNP
dell,NNP
descending,VBG
defying,VBG
decide,VB
despite,IN
del.,NNP
developments,NNS
desire,NN
desperately,RB
designation,NN
developing,VBG
democrat,NNP
detroit,NNP
deals,NNS
depressed,VBN
debacle,NN
deteriorated,VBN
depositary,NN
depository,NN
deplorable,JJ
democrats,NNPS
dexterity,NN
declared,VBD
debut,NN
dean,NNP
deal,NN
declines,NNS
deficiencies,NNS
dead,JJ
depends,VBZ
decided,VBD
design,NN
declined,VBD
denies,VBZ
delivered,VBN
desires,NNS
deeply,RB
decision,NN
delaware,NNP
demonstrators,NNS
determined,VBN
deficit,NN
derisively,RB
denied,VBN
deborah,NNP
deemed,VBD
depressions,NNS
deserving,JJ
degree,NN
derivatives,NNS
deliver,VB
delegates,NNPS
delivering,VBG
desired,VBN
defeated,VBD
departures,NNS
defensive,JJ
described,VBN
demise,NN
debt,NN
declining,VBG
debentures,NNS
deck,NN
deregulation,NN
deprivation,NN
declare,VB
desultory,JJ
defeat,VB
designations,NNS
deadwood,NN
defazio,NNP
decries,VBZ
deputy,JJ
deeds,NNS
delmont,NNP
decried,VBD
decrease,VB
defects,NNS
determine,VBP
depleted,VBN
decides,VBZ
decorator,NN
destinations,NNS
decline,NN
despised,VBN
deceptive,JJ
desai,NNP
devouring,VBG
destination,NN
devise,VBP
describes,VBZ
dealing,VBG
deteriorating,VBG
deliberately,RB
decisive,JJ
defendant,NN
define,VB
delayed,VBN
depression,NN
deter,VB
delivery,NN
dealings,NNS
demonstrations,NNS
declaration,NN
detective-story,NN
determining,VBG
defeats,VBZ
default,NN
defuse,VB
des,NNP
deposits-a,NNP
devices,NNS
defends,VBZ
defense,NN
del,NNP
delwin,NNP
den,NN
deprived,VBN
designing,VBG
delete,VB
detailed,VBN
deryck,NNP
defendants,NNS
deaths,NNS
defined,VBN
december,NNP
describe,VB
delisted,VBN
deem,VBP
defending,VBG
dennis,NNP
denying,VBG
defines,VBZ
denial,NN
develop,VB
democracy,NNP
depending,VBG
deserve,VBP
dead-eyed,JJ
detail,NN
delay,VB
derel,NNP
derek,NNP
details,NNS
dessert,NN
department,NNP
destroy,VB
degenerative,JJ
development,NNP
designer,NN
demobilize,VB
deliberating,VBG
declaring,VBG
denominator,NN
derived,VBN
demanding,VBG
denounce,VB
deere,NNP
develops,VBZ
devon,NNP
designed,VBN
demonstrating,VBG
device,NN
decorated,VBN
deane,NNP
deny,VB
deluxe,JJ
dealers,NNS
deluge,NN
devastating,JJ
departure,NN
departments,NNS
denouncing,VBG
definitely,RB
deposit,NN
deterioration,NN
demonstrates,VBZ
decliners,NNS
democratic,JJ
deng,NNP
