term,tag
disaffiliation,NN
discontent,NN
diplomacy,NN
dirtiest,JJS
discovered,VBD
disturbs,VBZ
discordant,JJ
directorship,NN
disk,NN
disagreed,VBD
disconnect,VB
disorders,NNS
disseminate,VB
disposal,NN
dick,NNP
distributed,VBN
dialing,VBG
disclosed,VBN
disagrees,VBZ
disapproved,VBN
distributes,VBZ
disproportionate,JJ
dispute,NN
division,NN
dinkins,NNP
diseases,NNS
disparate,JJ
discontinue,VB
distant,JJ
difference,NN
disappointed,VBN
discuss,VB
disadvantage,NN
diethylstilbestrol,NN
did,VBD
die,VB
differential,JJ
discarded,VBN
direct-mail,JJ
disregard,NN
divest,VB
difficult,JJ
discussing,VBG
distasteful,JJ
disaster,NN
directing,VBG
direct,JJ
disciplined,VBD
displays,NNS
distributor,NN
disturbing,JJ
disasters,NNS
distributable,JJ
dismissal,NN
disarray,NN
diluted,VBN
discouraging,VBG
discounts,NNS
difficulties,NNS
discretion,NN
disclose,VB
disputed,VBN
directionless,JJ
dividends,NNS
divergence,NN
discount,NN
disputes,NNS
dividend,NN
diagram,NN
dividing,VBG
dinosaurs,NNS
diming,NN
discussed,VBN
display,VB
dinner,NN
disappointment,NN
dismiss,VBP
disappears,VBZ
discontinued,VBN
disclosure,NN
diplomats,NNS
diceon,NNP
disembodied,JJ
disaffected,JJ
directly,RB
disputada,NNP
difficulty,NN
disciplinary,JJ
differ,VBP
district,NN
distinct,JJ
discrimination,NN
disposed,VBD
disapproval,NN
discrepancies,NNS
differently,RB
dismay,NN
direction,NN
diamond,NN
discussion,NN
discontinuing,VBG
differences,NNS
discourage,VB
disapprove,VBP
disruption,NN
disputado,NNP
diversionary,JJ
dismal,JJ
disruptive,JJ
diloreto,NNP
diminish,VB
discretionary,JJ
directed,VBN
divisions,NNS
diplomatic,JJ
dingell,NNP
districts,NNS
diverse,JJ
dirty,JJ
distribution,NN
distinguished,VBD
dill,NNP
diminished,VBN
diversification,NN
disclosing,VBG
dialogue,NN
dissident,NN
disappointing,JJ
discussions,NNS
dislike,NN
distorted,JJ
disclosures,NNS
disappear,VB
different,JJ
dissemination,NN
divided,VBN
dismissed,VBD
discredit,VB
dilemma,NN
dismayed,JJ
diagnosed,VBN
disseminating,VBG
diversified,JJ
disgorge,VB
disagreement,NN
discos,NNS
disagree,VBP
disaster-assistance,JJ
director,NN
diversifying,VBG
discharge,VB
digs,VBZ
died,VBD
diabetes,NN
disagreeable,JJ
direct-investment,JJ
dissolves,VBZ
disease,NN
directors,NNS
diversify,VB
disposables,NNS
diaper,NN
