term,tag
dobson,NNP
dodger,NNP
doctrine,NN
downfall,NN
doing,VBG
donoghue,NNP
doubt,NN
dolphin,NNP
dollar,NN
dole,NNP
down,IN
downgrade,NN
donald,NNP
dominating,VBG
domaine,NNP
dompierre,NNP
dorothy,NNP
dominant,JJ
dot,NNP
downgrading,NN
dozen,NN
donaldson,NNP
documents,NNS
do-it-yourself,JJ
doctor,NN
donuts,NNPS
doctors,NNS
dollar-yen,JJ
douglas,NNP
downgraded,VBD
dormitory,NN
doonesbury,NNP
does,VBZ
dominated,VBD
dominus,NNP
double-a,JJ
downturn,NN
document,NN
dogs,NNP
dolls,NNS
dodge,NNP
do,VBP
double-c,NN
door,NN
doors,NNS
domestic,JJ
downtown,NN
donor,NN
domination,NN
dominates,VBZ
dorrance,NNP
doak,NNP
docile,JJ
documented,VBN
downright,RB
doctorate,NN
doerflinger,NNP
dolphins,NNPS
doubts,VBZ
dozens,NNS
don,NNP
dom,NNP
double,VB
dollars,NNS
double-digit,JJ
doling,VBG
doubled,VBD
dominance,NN
domestically,RB
dollar-denominated,JJ
dominion,NNP
doubted,VBD
done,VBN
downward,RB
dover,NNP
dow,NNP
dolan,NNP
downside,NN
