term,tag
drastically,RB
drag-down,JJ
drunk,JJ
dreamed,VBD
drawbacks,NNS
drop-off,JJ
droughts,NNS
dreyfus,NNP
drastic,JJ
drifted,VBD
drove,VBD
drought,NN
drinks,NNS
dreadful,JJ
draws,VBZ
driving,VBG
driscoll,NNP
dressed,VBN
drivers,NNS
drobnick,NNP
driskill,NNP
drop-in,JJ
dr.,NNP
drawn,VBN
dramatically,RB
dresser,NNP
drafted,VBN
draw,VB
drugs,NNS
driver,NN
drink,NN
drift,VBP
drives,NNS
drew,NNP
drooled,VBD
dramatic,JJ
drexel,NNP
drums,NNS
dreamt,VBD
drinking,VBG
dry,JJ
droz,NNP
drain,NN
drearier,RBR
drop,NN
drive,VBP
drug,NN
drops,NNS
drawing,VBG
dropped,VBD
