term,tag
electorate,NN
el,NNP
elevators,NNS
elisabeth,NNP
elected,VBN
election,NN
eliminating,VBG
elementary,JJ
elsevier,NNP
electronic,JJ
elisa,NNP
elizabeth,NNP
ellis,NNP
eligible,JJ
electricity,NN
electrical,JJ
eliminate,VB
elephant,NN
electronics,NNS
electric,JJ
elders,NNPS
electrical-safety,JJ
eliminates,VBZ
else,RB
elmhurst,NNP
elderly,JJ
elsewhere,RB
elimination,NN
eliminated,VBN
elite,NN
elliott,NNP
electric-utility,NN
elusive,JJ
elaborate,VB
elections,NNS
element,NN
elco,NNP
