term,tag
engineer,NN
enraged,VBD
entrants,NNS
england,NNP
enormously,RB
enter,VB
encourages,VBZ
envoy,NN
energy,NN
entrance,NN
ends,NNS
environments,NNS
ending,VBG
engaging,VBG
ended,VBD
engineering,NN
ensnarled,VBN
enclosed,VBN
entering,VBG
entity,NN
enrollment,NN
encouraged,JJ
enters,VBZ
end,NN
ensembles,NNS
engines,NNS
entertainment,NNP
entitles,VBZ
engage,VB
encourage,VB
enjoyed,VBN
environment,NN
enough,JJ
enticed,VBD
enable,VB
endorse,VB
enthusiasm,NN
entered,VBN
entrench,VB
enact,VB
entitled,VBD
enacted,VBN
enforcement,NN
energy-services,JJ
english-speaking,JJ
entrenched,VBN
energetic,JJ
entrusted,VBN
engaged,VBN
environmentalists,NNS
enterprise,NNP
engineered,VBN
encouraging,VBG
environmental,JJ
entertain,VB
entangled,JJ
encircling,VBG
encroaching,VBG
ensrud,NNP
entertaining,JJ
encounter,VB
endless,JJ
entire,JJ
enormous,JJ
enjoying,VBG
enzor,NNP
entrepreneur,NN
enviable,JJ
enjoy,VBP
enabled,VBD
enlarged,JJ
enhances,VBZ
enabling,VBG
enright,NNP
ensure,VB
entice,VB
english,JJ
entirely,RB
enables,VBZ
endorsed,VBN
enforce,VB
enhanced,VBN
engineers,NNPS
