term,tag
facilities,NNS
farms,NNS
fasteners,NNS
fairness,NN
facts,NNS
faltered,VBD
father,NN
fared,VBD
factoring,VBG
failed,VBD
factor,NN
family-planning,JJ
fax,NNP
fate,NN
far,RB
familiar,JJ
fat,JJ
famous,JJ
fan,NN
fastest,JJS
facial,JJ
fall,NN
facing,VBG
fabian,NNP
fatalities,NNS
farren,NNP
fair,NNP
fail,VBP
fanfare,NN
fairless,NNP
fails,VBZ
fang,NNP
factors,NNS
factory,NN
favor,NN
fans,NNS
fargo,NNP
falling,VBG
falsify,VB
favored,JJ
fabled,JJ
fabricator,NN
faced,VBN
faith,NN
fault,VBP
favorite,JJ
faces,VBZ
facilitate,VB
farmers,NNS
family,NN
facility,NN
fancy,NN
fantasy,NNP
faultlessly,RB
fawning,VBG
fastest-growing,JJ
faint,VB
fast,RB
fahrenheit,NN
fainting,VBG
families,NNS
fast-food,NN
favorably,RB
failure,NN
favorable,JJ
factories,NNS
familiarization,NN
fabricate,VB
favors,VBZ
famed,JJ
faded,VBN
father-in-law,NN
fashion,NN
fattened,VBN
fairlawn,NNP
fanciful,JJ
fashioned,VBN
facade,NN
fannie,NNP
faithful,NN
fare,VBP
fairly,RB
faulding,NNP
farm,NN
falls,VBZ
fast-growing,JJ
faculty,NN
faster,JJR
fallen,VBN
failing,VBG
face,VB
failures,NNS
fact,NN
