term,tag
feed,VBP
ferc,NNP
features,NNS
feel,VB
fellow,JJ
feet,NNS
featured,VBD
fewer,JJR
female,JJ
fees,NNS
fear,NN
ferro,NNP
feudal,JJ
feeding,NNP
feared,VBD
fend,VB
fed,NNP
fee,NN
few,JJ
federal,JJ
feline,JJ
fears,NNS
feature,NN
feniger,NNP
felten,NNP
fellowship,NNP
featuring,VBG
feb.,NNP
felonies,NNS
federation,NNP
felony,NN
felt,VBN
feels,VBZ
fell,VBD
fe,NNP
feelings,NNS
ferdinand,NNP
february,NNP
federalist,NNP
fearful,JJ
fernando,NNP
fetal-tissue,NN
feasible,JJ
fetching,VBG
federally,RB
feeds,VBZ
feeling,VBG
fetal,JJ
