term,tag
fixed-rate,JJ
fighters,NNS
financially,RB
filters,NNS
fixtures,NNS
fine,NN
find,VB
fifth,JJ
filmed,VBN
fit,NN
fined,VBN
finalized,VBN
finally,RB
fizzled,VBN
fines,NNS
financial-services,JJ
finance,NN
finmeccanica,NNP
first-rate,JJ
five,CD
firmed,VBD
finite,JJ
finnish,JJ
fields,NNS
fixes,NNS
filling,VBG
firings,NNS
fixed,VBN
financial,JJ
fired,VBN
findings,NNS
fires,NNS
fidelity,NNP
fingers,NNS
fishman,NNP
firms,NNS
filled,VBN
fiber,NN
filings,NNS
first-time,JJ
firmness,NN
fifteen,CD
finland,NNP
filter,NNP
five-cent,JJ
figures,NNS
finds,VBZ
first,JJ
fifth-grade,NN
finest,JJS
fischer,NNP
fierce,JJ
fixed-price,JJ
financed,VBN
fight,NN
films,NNS
fiber-optic,JJ
final,JJ
firm,NN
fire,NN
finished,VBD
filed,VBN
five-day,JJ
fiber-end,JJ
financing,VBG
financings,NNS
five-inch,JJ
financier,NN
figure,VB
fights,NNS
file,VB
film,NN
fill,VB
fibers,NNS
field,NN
finding,NN
fifth-largest,JJ
firmly,RB
five-year,JJ
fielded,VBD
first-half,JJ
fits,NNS
fiscal,JJ
fixed-income,JJ
fills,VBZ
fighting,VBG
five-point,JJ
filing,NN
