term,tag
fringe,NN
fracturing,NNP
frankfurt,NNP
friction,NN
freshman,NN
freeport-mcmoran,NNP
frequency,NN
frantic,JJ
front-seat,NN
frightened,VBN
friendship,NN
fronts,NNS
freud,NNP
from,IN
freshbake,NNP
france,NNP
freedoms,NNS
free-lance,JJ
fraction,NN
francs,NNS
fretted,VBD
friend,NN
franc,NN
francisco,NNP
fracture,NN
frank,NNP
friday,NNP
freudtoy,NNP
free,JJ
frances,NNP
freddie,NNP
framework,NN
free-enterprise,NN
frenzy,NNP
french,JJ
front,NN
frequently,RB
francis,NNP
friends,NNS
fred,NNP
fret,NN
fragmentation,NN
fraud,NN
fractionally,RB
fremantle,NNP
frankly,RB
friedrichs,NNP
frozen,VBN
freedom,NN
fragile,JJ
frederick,NNP
friendly,JJ
freeway,NN
framers,NNS
fresh,JJ
francisco-based,JJ
frustrating,VBG
