term,tag
gallon,NN
gates,NNP
gather,VB
gangs,NNS
garbage,NNP
gayle,NNP
garden-variety,NN
ganes,NNP
ga.,NNP
galvanized,JJ
gauge,VB
gary,NNP
gaithersburg,NNP
gamut,NN
gauges,VBZ
garry,NNP
garret,NNP
gasoline,NN
gave,VBD
gaining,VBG
gains,NNS
gauging,VBG
gas,NN
gardner,NNP
game,NN
gain,NN
gambling,NN
gaf,NNP
gambler,NN
gartner,NNP
gained,VBD
garanti,NNP
gaja,NNP
galling,JJ
gallium,NN
garage,NN
gates-warren,NNP
games,NNS
garrison,NNP
