term,tag
german,JJ
general,NNP
gentle,JJ
gelles,NNP
george,NNP
geography,NN
generous,JJ
genuine,JJ
generic,JJ
gerald,NNP
get-out-the-vote,JJ
generally,RB
generation,NN
generators,NNS
generalized,NNP
gets,VBZ
germany-based,JJ
georgetown,NNP
geneva,NNP
get,VB
genes,NNS
gencorp,NNP
geometrical,JJ
gelatin,NN
generated,VBN
germany,NNP
georgia-pacific,NNP
genie,NN
genetics,NNP
generate,VB
germans,NNPS
georgia,NNP
getting,VBG
gerard,NNP
genel,NNP
gerhard,NNP
generalizations,NNS
generations,NNS
