term,tag
gone,VBN
gov.,NNP
gold,NN
goodies,NNS
government-certified,JJ
gorman,NNP
gottlieb,NNP
go,VBP
goblins,NNS
goal,NN
good-faith,NN
god,NNP
gorbachev,NNP
golden,JJ
government-funded,JJ
goodman,NNP
going,VBG
goes,VBZ
got,VBD
goldsmith,NNP
gop,NNP
gordon,NNP
good,JJ
government,NN
governors,NNS
goldman,NNP
gored,VBN
goldinger,NNP
good-hearted,JJ
government-owned,JJ
goods,NNS
goodwill,NN
gotten,VBN
gotta,NNP
governor,NN
good-natured,JJ
goode,NNP
goody,NNP
goverment,NN
