term,tag
greenmailer,NN
gripping,JJ
grapes,NNS
grade,NN
gradual,JJ
groton,NNP
grower,NN
gringo,NNP
growth,NN
greece,NNP
grain,NN
graham,NNP
ground,NN
grown,VBN
gross,NNP
gradually,RB
group,NN
greenwich,NNP
granting,VBG
grant,NNP
growers,NNS
granted,VBN
greenville,NNP
graduate,NNP
grange,NNP
grapple,VB
grand,NNP
grgich,NNP
grandstander,NN
grows,VBZ
greatest,JJS
graders,NNS
greater,JJR
grandsire,NNP
griffin,NNP
greedy,JJ
graduates,NNS
groups,NNS
graphics,NNS
graduated,VBD
grace,NNP
grim,JJ
gray,NNP
great,JJ
grew,VBD
grains,NNS
greer,NNP
growths,NNS
groucho,NNP
grandfather,NN
grader,NN
graphs,NNS
grants,NNS
green,JJ
greatly,RB
growing,VBG
gregory,NNP
greed,NN
