term,tag
hampton,NNP
hammerschmidt,NNP
hayne,NNP
half,DT
haden,NNP
hampshire,NNP
harrison,NNP
hauled,VBD
had,VBD
hay,NN
hadson,NNP
has,VBZ
happened,VBD
handle,VB
halt,VB
harmed,VBN
haul,NN
hailed,VBN
hale,NNP
hands,NNS
hammersmith,NNP
harbinger,NN
hammerton,NNP
hawaii,NNP
harry,NNP
hard-charging,JJ
hard-hitting,JJ
hazell,NNP
harm,NN
habit,NN
hard,JJ
hanifen,NNP
hara,NNP
hair,NN
happen,VB
hayes,NNP
happens,VBZ
hailing,VBG
harold,NNP
handful,NN
harvard,NNP
harshly,RB
half-hour,NN
halted,VBN
hackensack,NNP
haut-brion,NNP
harass,VB
harpo,NNP
hart-scott-rodino,NNP
handled,VBN
hazards,NNS
hangs,VBZ
handles,VBZ
hardly,RB
hawke,NNP
happy,JJ
hahn,NNP
hawaiian,JJ
hazardous,JJ
hartford,NNP
hallwood,NNP
harvest,NN
haven,NNP
handling,NN
harms,VBZ
harder,JJR
halls,NNS
harvested,VBN
halts,NNS
hasbrouk,NNP
hardest-hit,JJ
hallett,NNP
hardware,NN
have,VBP
harassment,NN
hard-drinking,JJ
haney,NNP
harsh,JJ
harper,NNP
handed,VBD
hampered,VBD
harmony,NN
hatch,NNP
haruki,NNP
harped,VBD
hammond,NNP
hang,VB
hand,NN
harmful,JJ
harris,NNP
hamstrung,VBP
hans,NNP
hammacher,NNP
hanover,NNP
handelsbanken,NNP
happier,JJR
happening,VBG
halve,VB
hauling,VBG
hamilton,NNP
harcourt,NNP
having,VBG
