term,tag
heavy,JJ
heatherington,NNP
help,VB
heavily,RB
headcount-control,NN
heebie-jeebies,NNS
headlined,VBN
hearing,NN
helped,VBD
heard,VBN
heated,VBN
helm,NN
herald,NNP
heads,NNS
hedging,NN
her,PRP$
headline,NN
headed,VBN
heirs,NNS
heights,NNP
health,NN
helps,VBZ
heritage,NNP
heavy-truck,NN
heavy-duty,JJ
headrests,NNS
hearst,NNP
heidelberg,NNP
hegemony,NN
henderson,NNP
head,NN
hero,NN
hermitage,NNP
hefty,JJ
heiwado,NNP
here,RB
helpful,JJ
helping,VBG
hear,VB
healing,NN
headquarters,NNS
herself,PRP
he,PRP
hearings,NNS
herrington,NNP
heightened,VBN
held,VBN
healthy,JJ
heartland,NN
helsinki,NNP
heating,NN
herbert,NNP
heart,NN
herald-american,NNP
henry,NNP
heading,VBG
