term,tag
hither,RB
high-priced,JJ
high-risk,JJ
hiroshi,NNP
high-rise,JJ
highly,RB
high,JJ
hitachi,NNP
himself,PRP
high-rolling,JJ
high-level,JJ
high-minded,JJ
high-grade,JJ
hills,NNP
hint,NN
high-polluting,JJ
high-stakes,JJ
hitting,VBG
historic,JJ
hill,NNP
hidden,VBN
high-flying,JJ
high-technology,NN
historically,RB
highway,NN
higher,JJR
high-speed,JJ
his,PRP$
hit,VBD
highs,NNS
hits,NNS
hierarchical,JJ
hid,VBD
high-rate,JJ
highest,JJS
him,PRP
hire,VB
high-quality,JJ
hitter,NN
high-yield,JJ
highest-pitched,JJ
higher-salaried,JJ
hired,VBD
high-volume,JJ
historical,JJ
high-balance,JJ
high-tech,JJ
highlight,VB
hiroshima,NNP
history,NN
