term,tag
houston,NNP
hoped,VBD
honduras,NNP
house,NNP
household,NN
house-senate,NNP
hoosier,NNP
hook,NN
horoscopes,NNS
hoylake,NNP
homeless,NN
hosted,VBD
home,NN
hospitals,NNS
honors,NNS
hotels,NNS
hong,NNP
holt,NNP
honorably,RB
how-to,JJ
howard,NNP
holdings,NNP
hormats,NNP
hospital,NNP
holds,VBZ
hobbyists,NNS
housewife,NN
households,NNS
how,WRB
hot,JJ
hoopla,NN
holding,VBG
hopefully,RB
hottest,JJS
holiday,NN
hostility,NN
hope,NN
housing,NNP
homosexual,NN
hostage,NN
hoffman,NNP
hotel,NN
however,RB
holidays,NNS
hours,NNS
houses,NNS
host,NN
honolulu,NNP
hospitable,JJ
hopes,VBZ
homebrew,NNP
hole,NN
hold,VB
holder,NN
hopwood,NNP
holland,NNP
homes,NNS
hormone,NN
houghton,NNP
hostile,NN
hour,NN
home-market,JJ
homelessness,NN
hopkins,NNP
housing-assistance,JJ
hollingsworth,NNP
hollis,NNP
homework,NN
horsham,NNP
holders,NNS
honor,VB
hostess,NNP
