term,tag
imaginative,JJ
impediments,NNP
impression,NN
imposing,VBG
imports,NNS
image,NN
improper,JJ
improbable,JJ
imply,VBP
improvements,NNS
implement,VB
immediately,RB
images,NNS
impossible,JJ
implemented,VBN
impending,JJ
impetuous,JJ
impact,NN
impressed,VBN
impetus,NN
imported,VBN
immune,JJ
implementation,NN
imminent,JJ
impeding,VBG
improvement,NN
immense,NN
importer,NN
implied,VBD
imperative,JJ
impart,VB
import,NN
implant,VB
imhoff,NNP
imposes,VBZ
impudent,JJ
impaired,VBN
impartial,JJ
implicitly,RB
immediate,JJ
important,JJ
impede,VB
imagine,VB
improving,VBG
imposed,VBN
importance,NN
implicit,JJ
improve,VB
implements,VBZ
improved,VBN
impressive,JJ
impose,VB
implications,NNS
imbalances,NNS
impatient,NN
improves,VBZ
implication,NN
imsai,NNP
implies,VBZ
