term,tag
labels,NNS
laura,NNP
landis,NNP
la,NNP
lackluster,JJ
lake,NNP
labor,NN
languages,NNS
lauded,VBD
lawmakers,NNS
lack,NN
lambert,NNP
landrieu,NNP
lady,NN
labor-management,NN
labouisse,NNP
laurels,NNS
lafite-rothschild,NNP
laying,VBG
labeling,VBG
large,JJ
laughing,VBG
lapses,VBZ
lasting,JJ
lawyer,NN
lancaster,NNP
launch-vehicle,NN
label,NN
laurence,NNP
laid,VBN
latin,NNP
lawless,NNP
lakes,NNPS
land-idling,JJ
latest,JJS
latour,NNP
language-housekeeper,JJ
langner,NNP
landowners,NNS
last,JJ
language,NN
launch,VB
larger,JJR
lacked,VBD
lasalle,NNP
large-scale,JJ
layer,NN
lagging,VBG
lawmaking,JJ
late,JJ
lawsuit,NN
lawsuits,NNS
laboriously,RB
landonne,NNP
landing,NN
lazzaroni,NNP
land,VB
larger-than-normal,JJ
laser,NN
labeled,VBN
launched,VBN
la.,NNP
lauderhill,NNP
landfills,NNS
lacks,VBZ
lama,NNP
latter,NN
lately,RB
labor-backed,JJ
lap-shoulder,JJ
largest,JJS
landor,NNP
lawyers,NNS
lab,NN
lay,VBD
law,NNP
lap,NN
las,NNP
lane,NNP
labor-intensive,JJ
largely,RB
later,JJ
lasted,VBD
landfill,NN
larry,NNP
laboratories,NNPS
laws,NNS
