term,tag
legislators,NNS
leighton,NNP
letters,NNS
leaders,NNS
leigh,NNP
less,JJR
lewis,NNP
lending,VBG
lebanon,NNP
lengthen,VBP
less-serious,JJ
lengthened,VBD
leadership,NN
legal,JJ
learning,NNP
leasing,NN
lesson,NN
legg,NNP
leery,JJ
leningrad,NNP
letting,VBG
leave,VBP
le,DT
lend-lease,JJ
lead,VBP
lehman,NNP
leading,VBG
leveraged,JJ
legislation,NN
lesions,NNS
least,JJS
lessening,VBG
lender,NN
leap,NN
lefcourt,NNP
length,NN
learned,VBD
leaky,JJ
lenders,NNS
leader,NN
lease,VB
legislative,JJ
led,VBD
lee,NNP
letter-writing,JJ
leveraging,VBG
len,NN
leo,NNP
lens,NN
levels,NNS
leming,NNP
leon,NNP
letter,NN
lent,VBD
lessen,VB
leases,NNS
legend,NNP
legislature,NN
lezovich,NNP
leveling,VBG
level,NNP
leroy,NNP
leaves,VBZ
leeway,NN
lentjes,NNP
leaving,VBG
lesser,JJR
leather,NN
leinonen,NNP
leapt,VBD
learn,VB
less-than-brilliant,JJ
let,VB
leash,NN
legislating,VBG
left,VBN
