term,tag
madison,NNP
mannix,NNP
materialistic,JJ
magnetic,JJ
mainly,RB
manager,NN
markdown,NN
manchester,NNP
malignant,JJ
managed,VBN
machinists,NNS
mayor,NN
marvelously,RB
marching,VBG
maclellan,NNP
matthew,NNP
mariotta,NNP
marder,NNP
macdonald,NNP
marchand,NNP
marks,NNS
manfred,NNP
mail,NN
maryland,NNP
main,JJ
marshall,NNP
match,VB
magicians,NNS
march,NNP
manila,NNP
matches,NNS
material,NN
matters,NNS
mania,NN
maintaining,VBG
matched,VBN
materialize,VBP
marcus,NNP
masters,NNS
marketers,NNS
marie-louise,NNP
materialized,VBD
magnitude,NN
malnutrition,NN
martin,NNP
marion,NNP
market-based,JJ
mathematical,JJ
mandates,VBZ
macmillan,NNP
malaysia,NNP
managements,NNS
magnets,NNS
margins,NNS
macmillan\/mcgraw,NNP
makers,NNS
machines,NNPS
maturity,NN
managing,VBG
marketed,VBN
mason,NNP
massacre,NN
manmade-fiber,JJ
manipulate,VB
manages,VBZ
marketing,NN
marketer,NN
manufactured,VBN
maine,NNP
market-oriented,JJ
mazda,NNP
marketing-communications,NNS
marietta,NNP
magna,NNP
marina,NNP
matthews,NNP
manufacturing,VBG
marine,NNP
manufacturer,NN
marty,NNP
mainland,NN
many,JJ
markdowns,NNS
mac,NNP
magazine,NN
massive,JJ
mahoney,NNP
maytag,NNP
makes,VBZ
maker,NN
major,JJ
male-dominated,JJ
managers,NNS
maxwell,NNP
malcolm,NNP
manage,VBP
marriages,NNS
maintained,VBD
markey,NNP
magazines,NNS
maximize,VB
mattress,NNP
male-only,JJ
market,NN
management,NNP
mara,NNP
marc,NNP
manipulators,NNS
mark,NNP
master,NN
maintenance,NN
maze,NN
markets,NNPS
mary,NNP
marginally,RB
manufacture,VB
marbles,NNS
mammoth,JJ
manufacturers,NNPS
maughan,NNP
macheski,NNP
mailed,VBN
mather,NNP
made,VBN
maximum,NN
matter,NN
mainframe,NN
mature,VBP
maybe,RB
making,VBG
male,JJ
margin,NN
marketplace,NN
major-league,JJ
manually,RB
marubeni,NNP
manner,NN
martyr,NN
magleby,NNP
marathon,NNP
maturing,VBG
maturities,NNS
make,VB
malta,NNP
matching,JJ
machine,NN
majority,NN
maintain,VB
madly,RB
mathematics,NN
mayer,NNP
macmillan\/mcgraw-hill,NNP
manhattan,NNP
map,VB
males,NNS
may,MD
market-share,JJ
market-makers,NNS
mario,NNP
machine-gun-toting,JJ
mae,NNP
massachusetts,NNP
mayland,NNP
marrow,NN
marie,NNP
man,NN
markkaa,NN
malizia,NNP
manpower,NN
mating,VBG
markup,NN
marchese,NNP
magnified,VBN
materials,NNS
mass,NNP
machinery,NN
makato,NNP
marvin,NNP
mass.,NNP
mailing,NN
marge,NNP
