term,tag
mexican,NNP
meetings,NNS
merit,NN
mentioned,VBN
mercer,NNP
medallions,NNS
merger,NN
mend,VB
meridian,NNP
mehta,NNP
merchant,JJ
means,VBZ
mesothelioma,NN
mention,VB
merchandise,NN
mesnil,NNP
meatpacking,NN
merge,VB
mead,NNP
mercedes,NNPS
meal,NN
mergers,NNPS
mean,VB
mental,JJ
meese,NNP
merits,NNS
measurement,NN
merchants,NNS
mechanically,RB
memories,NNS
medicine,NN
mercantile,NNP
merchandising,NN
men,NNS
mechanisms,NNS
met,VBN
merrick,NNP
members,NNS
mehrens,NNP
meaning,VBG
merrill,NNP
meinders,NNP
merely,RB
megabytes,NNS
message,NN
merc,NNP
mere,JJ
methods,NNS
mercury,NNP
merger-related,JJ
meaningful,JJ
memory,NN
meeting,NN
mellon,NNP
memo,NN
memphis,NNP
me,PRP
measured,VBN
merged,VBN
meet,VB
messrs.,NNPS
meant,VBN
metropolitan,JJ
mexico,NNP
metric,JJ
measure,NN
metals,NNS
mediocre,JJ
menem,NNP
memorize,VBP
media,NNP
meanwhile,RB
mechanism,NN
member,NN
meets,VBZ
measures,NNS
medium-sized,JJ
mega-stadium,NN
melt-textured,JJ
membership,NN
melamed,NNP
meals,NNS
mentally,RB
medical,JJ
metal,NN
mechanical,JJ
metallgesellschaft,NN
