term,tag
misdemeanor,NN
midnight,NN
mission,NNP
midwestern,JJ
mistakes,NNS
milwaukee,NNP
mill,NN
milk,NN
mitsui,NNP
milked,VBN
middle-ground,JJ
minnesota,NNP
minute,NN
might,MD
microcomputers,NNS
mid-size,JJ
michigan,NNP
miners,NNS
microprocessors,NNS
milestone,NN
minera,NNP
minneapolis-based,JJ
miami,NNP
michael,NNP
miles,NNP
michaels,NNP
mid-1990s,NNS
michelin,NNP
miller,NNP
midyear,NN
mifflin,NNP
mich.,NNP
mirror,VBP
missed,VBN
mine,NN
mines,NNS
microwave,NN
mich.-based,JJ
microprocessor,NN
minimal,JJ
minority-owned,JJ
midrange,JJ
million,CD
mikhail,NNP
miti,NNP
milestones,NNS
mindy,NNP
ministry,NNP
mitchell,NNP
mixed,VBN
military,JJ
mistakenly,RB
ministers,NNS
mignon,NN
mid-october,NNP
midvale,NNP
millions,NNS
mississippi,NNP
minted,VBN
midland,NNP
minn.,NNP
mind-boggling,JJ
milne,NNP
minor,JJ
mining,NNP
miscarriages,NNS
mininum-wage,NN
minimum-wage,NN
minicrash,NN
minister,NN
mitsubishi,NNP
mid-afternoon,JJ
mid-1970s,CD
miss.,NNP
michio,NNP
midwest,NN
milan,NNP
midtown,NN
miguel,NNP
micronite,NN
minutes,NNS
minus,CC
mistake,NN
mickey,NNP
mindful,JJ
mirrors,VBZ
migrate,VB
mind,VB
mike,NNP
minneapolis,NNP
millionaires,NNS
middle,NN
minimum,JJ
microphone,NN
missiles,NNS
middlesex,NNP
mired,VBN
minivans,NNS
millis,NNP
mix,NN
miklos,NNP
minority,NN
million-a-year,JJ
mimics,VBZ
mistrials,NNS
miami-based,JJ
midsized,JJ
mitigate,VB
midwesco,NNP
missouri,NNP
