term,tag
multiplying,VBG
municipality,NN
murray,NNP
mutual-fund,NN
multiples,NNS
mutual,NNP
muscolina,NNP
muted,VBN
museum,NN
much-larger,JJ
multi-crystal,JJ
much,JJ
music,NN
multibillion-dollar,JJ
multitude,NN
multinational,JJ
mundane,JJ
municipalities,NNS
murder,NN
muramatsu,NNP
municipal,JJ
murakami,NNP
mulling,VBG
muzzling,JJ
muffled,VBN
murdered,VBN
multilevel,JJ
muscling,VBG
multinationals,NNS
must,MD
mudslinging,NN
mulford,NNP
muster,NN
mushy,JJ
museums,NNS
mutchin,NNP
