term,tag
neighbors,NNS
neil,NNP
neanderthals,NNS
needle-like,JJ
newsweekly,RB
networks,NNS
near-limit,JJ
negative,JJ
neutrons,NNS
negotiator,NN
nesconset,NNP
necks,NNS
negus,NNP
need,VB
neighborhood,NN
newhouse,NNP
nets,NNS
newsweek,NNP
negotiations,NNS
nemeth,NNP
necessities,NNS
needs,NNS
necessarily,RB
networking,NN
network,NN
newsworthy,JJ
near-record,JJ
newsstands,NNS
nervous,JJ
newgate,NNP
nec,NNP
newest,JJS
next,JJ
negotiators,NNS
needed,VBD
negatives,NNS
negotiable,JJ
new-home,JJ
newsroom,NN
new,NNP
newly,RB
nestor,NNP
nederlanden,NNP
newspaper-printing,NN
nervousness,NN
never,RB
negotiate,VB
negotiating,VBG
necklace,NN
newsstand,NN
negotiated,VBD
newcomer,NN
nearly,RB
newer,JJR
net,JJ
news,NN
nev.,NNP
nesb,NNP
neither,DT
netware,NNP
netherlands,NNP
necessary,JJ
new-car,NN
neighborhoods,NNS
nevertheless,RB
neighboring,VBG
newspapers,NNS
needing,VBG
neal,NNP
nelms,NNP
needy,JJ
near,IN
nebraska,NNP
neat,JJ
nelson,NNP
neuberger,NNP
nekoosa,NNP
newspaper,NN
nearly-30,JJ
news-american,NNP
nearby,JJ
neoprene,NN
needham,NNP
