term,tag
passages,NNS
particularly,RB
paper,NN
participate,VB
partial,JJ
paul,NNP
partisans,NNS
payoff,NN
partners,NNS
paris,NNP
patricia,NNP
passage,NN
pasadena,NNP
parents,NNS
passion,NN
paying,VBG
payouts,NNS
pages,NNS
parlors,NNS
patrick,NNP
patch,NNP
payments,NNS
parishioners,NNS
page,NN
paperback,NN
pauline,NNP
paso,NNP
pacific,NNP
past,JJ
pall,NN
pass,VB
paramount,NNP
packed,JJ
passions,NNS
page-one,NN
pattern,NN
panama,NNP
participants,NNS
pamela,NNP
pattenden,NNP
participation,NN
paribas,NNP
patient,NN
parallels,VBZ
parent,NN
payment,NN
palmer,NNP
pate,NNP
pasta,NN
path,NN
packages,NNS
panel,NN
patented,VBD
package,NN
pains,NNS
pamplin,NNP
passing,VBG
patents,NNS
pakistan,NNP
passers-by,NNS
parkinson,NNPS
packaging,NN
parties,NNS
papua-new,NNP
palace,NN
palestinian,NNP
partnership,NN
particulars,NNS
paint,VBP
pa,NNP
passed,VBN
palestine,NNP
participated,VBD
parliament,NNP
paltry,JJ
passport,NN
painted,VBN
park,NN
payable,JJ
part,NN
particular,JJ
payrolls,NNS
partially,RB
pact,NN
pace,NN
patients,NNS
parched,VBN
pack,NN
passenger,NN
parishes,NNS
pathlogy,NN
parking,NN
palisades,NNP
parts-engineering,JJ
partner,NN
passbook,NN
pap,NNP
par,NN
pat,NNP
patent,NN
pay,VB
parts,NNS
papers,NNS
party,NN
panic,VB
pan,NNP
passenger-car,NN
pain,NN
paid,VBN
pardus,NNP
pair,VB
participant,NN
parallel,JJ
paycheck,NN
patterns,NNS
partly,RB
painting,NN
partisan,JJ
pa.,NNP
painewebber,NNP
