term,tag
philippine,JJ
phipps,NNP
phrase,NN
philip,NNP
physical,JJ
pharmaceutical,JJ
phillips,NNP
phelan,NNP
photocopy,VB
philadelphia,NNP
pharmaceuticals,NNS
phase-out,NN
phasing,VBG
phobias,NNS
photographs,NNS
phi,NNP
phoenix,NNP
photography,NNP
philosophy,NN
pharaoh,NNP
phony,JJ
physicist,NN
photos,NNS
phase,VB
pharaohs,NNS
photographic,JJ
phacoflex,NNP
photocopying,VBG
photograph,NNP
phone,NN
phillip,NNP
philippines,NNPS
philadelphia-based,JJ
physics,NN
