term,tag
playwright,NN
playgrounds,NNS
played,VBN
plea,NN
play,VB
playful,JJ
player,NN
platitudes,NNS
planning,VBG
plagued,VBN
plummeted,VBD
planters,NNP
plight,NN
plugged,VBD
pleased,VBN
platinum,NN
plot,NN
plays,VBZ
placed,VBN
pledged,VBD
placing,VBG
please,VB
plastic,JJ
plainclothes,NNS
plains,NNS
planted,VBN
plantation,NNP
place,NN
plaintive,JJ
plate,NN
plant,NN
plunge,NN
plans,VBZ
planting,NN
platt,NNP
plane,NN
plc,NNP
plan,NN
plenty,NN
planners,NNS
plo,NNP
pleaded,VBD
plants,NNS
planner,NN
placement,NN
places,NNS
platforms,NNS
plaza,NNP
plunged,VBD
plunging,VBG
players,NNS
plus,CC
planned,VBN
planes,NNS
plaintiffs,NNS
playing,VBG
