term,tag
polystyrene,NN
portugal,NNP
point,VB
pont,NNP
pointed,VBD
polytechnic,NNP
positioned,VBN
pop,NNP
pound,NN
posing,VBG
powder,NN
polish,JJ
portfolio,NN
porting,VBG
portrayed,VBN
poorly,RB
portray,VBP
police,NNS
pointing,VBG
possessions,NNS
positive,JJ
populated,VBN
political,JJ
poison,NN
powerhouse,NN
port,NN
politicians,NNS
poured,VBD
potentially,RB
policy-making,JJ
policy,NN
population,NN
pools,NNS
polled,VBN
porter,NNP
ports,NNS
poor,NNP
popularly,RB
posting,VBG
power,NN
portfolios,NNS
pockets,NNS
pose,VB
potables,NNS
powwow,NN
possibility,NN
possible,JJ
pocket,NN
possibly,RB
poignant,JJ
poverty,NN
politely,RB
polyproplene,NN
posters,NNS
post,NN
potential,JJ
pool,NN
posted,VBD
polyester,NN
polarized,VBN
portions,NNS
post-hearing,JJ
politically,RB
pounds,NNS
positions,NNS
poland,NNP
polls,NNS
portrayal,NN
powerful,JJ
pour,VB
poore,NNP
politics,NNS
posts,NNS
portion,NN
points,VBZ
policies,NNS
polluters,NNS
popular,JJ
position,NN
possess,VBP
postponed,VBN
powers,NNS
possessed,VBD
pollution,NN
