term,tag
precise,JJ
proposed,VBN
produces,VBZ
printing-press,NN
prints,NNS
preclinical,JJ
produced,VBN
prefectural,JJ
protest,NN
proposition,NN
predicts,VBZ
preface,NN
protecting,VBG
prevalance,NN
previous,JJ
profitable,JJ
prospectively,RB
prefecture,NN
pre-emptive,JJ
producer,NN
providence,NNP
procedures,NNS
proportion,NN
pre-cooked,JJ
program,NN
promoting,VBG
projects,VBZ
pretty,NNP
prison,NN
prominently,RB
pride,NN
presentation,NN
prisoners,NNS
predecessor,NN
prosecute,VB
preparatives,NNS
protective,JJ
premium,NN
provides,VBZ
provisions,NNS
prefer,VBP
price-depressing,JJ
practice,NN
protesters,NNS
preferred,JJ
provoked,VBN
preference,NN
probably,RB
press,NN
provision,NN
presidential,JJ
prominent,JJ
prime,JJ
professors,NNS
proponent,NN
prize,NNP
progressive,JJ
presented,VBD
preclude,VB
pregnant,JJ
proposals,NNS
prolonged,VBN
proscribes,VBZ
pro-choice,JJ
proposing,VBG
predicted,VBD
prevents,VBZ
proponents,NNS
prudential-bache,NNP
processes,NNS
promises,VBZ
prevailing,VBG
prevent,VB
procedural,JJ
pretext,NN
prompted,VBD
proteins,NNS
productions,NNPS
pricing,NN
product-design,JJ
priciest,JJS
proper,JJ
programmer,NN
pre-approved,JJ
projections,NNS
provided,VBN
preferences,NNS
pressured,JJ
profit,NN
prosecution,NN
profitability,NN
propagandizes,VBZ
pressures,NNS
protections,NNS
prosecuted,VBN
print,VB
progress,NN
principal,JJ
profitably,RB
proviso,NN
promissory,JJ
premises,NN
pramual,NNP
predicting,VBG
prescribe,VB
profit-taking,NN
promptly,RB
pressure,NN
pratt,NNP
protection,NN
prohibited,VBN
precious,JJ
predicated,VBN
properties,NNS
protect,VB
providing,VBG
prosecutors,NNS
practitioners,NNS
prior-year,JJ
privacy,NN
programming,NN
practical,JJ
prior,RB
preset,JJ
products,NNS
pro-democracy,JJ
promotion,NN
profess,VBP
propagandize,VB
prospective,JJ
presumably,RB
protests,NNS
presence,NN
previously,RB
presidents,NNS
prosecuting,VBG
profession,NN
primary,JJ
private,JJ
promise,VBP
privately,RB
primarily,RB
prohibiting,VBG
precisely,RB
prerogatives,NNS
property\/casualty,NN
projector,NN
prepare,VB
prove,VBP
pre-existing,JJ
protracted,JJ
preventative,JJ
priority,NN
predict,VBP
proprietor,NN
production,NN
prescient,JJ
privilege,NN
proposal,NN
prototype,NN
pretax,NN
prosecutor,NN
preparation,NN
preserving,VBG
present,VB
presumes,VBZ
printers,NNS
proving,VBG
prospects,NNS
priced,VBN
pre-1933,JJ
properly,RB
predictable,JJ
prizes,NNS
prices,NNS
prescription,NN
promote,VB
producing,VBG
protocols,NNS
precedes,VBZ
professionals,NNS
practicing,VBG
prebon,NNP
presidency,NN
princeton,NNP
prof,NNP
prof.,NNP
pricings,NNS
project,VB
preapproved,VBN
prompts,VBZ
protected,VBN
pressed,VBN
promising,JJ
problem,NN
property,NN
pretoria,NNP
propaganda,NN
procedure,NN
proof,JJ
prospect,NN
pre-communist,JJ
proved,VBD
predispose,VB
processing,NN
providers,NNS
process,NN
preston,NNP
premier,JJ
proven,VBN
promotional,JJ
pre-tax,JJ
prestigious,JJ
pressing,VBG
protects,VBZ
promised,VBN
prayer,NN
protein,NN
provoke,VB
pro-forma,JJ
proceeds,NNS
price-support,JJ
prohibits,VBZ
protein-1,NN
productivity,NN
processors,NNS
prater,NNP
provide,VB
prize-fighter,NN
prerogative,NN
proceedings,NNS
preventing,VBG
predictably,RB
pro-iranian,JJ
propose,VBP
praised,VBD
prejudice,NN
principals,NNS
privileged,JJ
province,NN
product,NN
prepayment,NN
princely,JJ
premiere,NN
price,NN
pressman,NN
problems,NNS
pre-1917,JJ
prepared,VBN
producers,NNS
produce,VB
printed,VBD
propelling,VBG
preliminary,JJ
president,NNP
prestige,NN
prostitute,NN
promotions,NNS
profited,VBD
primerica,NNP
practiced,VBN
programs,NNS
professor,NN
program-trading,JJ
procurement,NN
premiums,NNS
practices,NNS
principle,NN
prying,JJ
professional,JJ
precedent,NN
profits,NNS
