term,tag
rabia,NNP
raised,VBD
rae,NNP
rating,NN
ran,VBD
random,NNP
ranked,VBD
rang,VBD
razor-thin,JJ
rancor,NN
rapprochement,NN
rate,NN
radio,NN
raises,VBZ
rap,NN
railing,NN
ratners,NNP
rally,NN
ratepayers,NNS
rarely,RB
randolph,NNP
rape,NN
raring,JJ
ratings,NNS
radically,RB
rapid,JJ
rapidly,RB
raise,VB
rather,RB
rankings,NNS
rationed,VBN
rash,NN
rapport,NN
rates,NNS
rated,VBD
racket,NN
ray,NNP
racing,VBG
railcars,NNS
raton,NNP
rapists,NNS
railings,NNS
raced,VBD
raymond,NNP
ranged,VBN
ralston,NNP
rapanelli,NNP
rail,NNP
rankin,NNP
rain,NN
radio-station,NN
rarefied,VBN
ranger,NNP
radioactivity,NN
ratcheting,VBG
raul,NNP
rare,JJ
railroad,NN
raspberry,NN
raising,NN
ranieri,NNP
rate-sensitive,JJ
rallying,VBG
ramparts,NNS
rampage,NN
raw,JJ
ranks,NNS
races,NNS
ramirez,NNP
ravenswood,NNP
range,NN
race,NN
raleigh,NNP
ratified,VBN
ranging,VBG
railcar,NN
ratner,NNP
