term,tag
represent,VBP
remarkable,JJ
relieve,VB
results,NNS
reasoning,NN
reluctant,JJ
referring,VBG
removal,NN
refunding,NN
regal,NNP
resources,NNPS
record-keeping,NN
returned,VBN
returning,VBG
regional,JJ
reopened,VBD
resistance,NN
rebuked,VBD
reforms,NNS
redistribute,VB
real-estate,NN
relentlessly,RB
revolution,NNP
regret,NN
reins,NNS
reaffirmed,VBD
replicated,VBN
repeals,VBZ
revolves,VBZ
resilient,JJ
relocate,NN
reporter,NN
redeploy,VB
reported,VBN
represented,VBD
red-and-white,JJ
redemption,NN
receive,VB
regulators,NNS
reports,NNS
resulting,VBG
reclaim,VB
reds,NNS
retired,VBN
recession-inspired,JJ
reclaimed,VBN
requiring,VBG
reagan,NNP
replace,VB
retires,VBZ
refitting,VBG
remains,VBZ
reinstatement,NN
replacement-car,NN
recommend,VB
restraints,NNS
reflects,VBZ
regrettable,JJ
rear-seat,NN
rebounding,VBG
recall,VB
recession,NN
recessionary,JJ
remain,VB
reshaping,VBG
revenues,NNS
reserved,VBD
reserves,NNS
reviewing,VBG
reprove,VB
requirements,NNS
recovery,NN
reuter,NNP
regions,NNS
responsibilities,NNS
reject,VB
resignation,NN
restructured,VBN
replacing,VBG
reames,NNP
reflect,VB
restructures,VBZ
reddington,NNP
reaction,NN
renovation,NN
reagan-bush,JJ
refuse,VBP
remember,VB
rev.,NNP
register,NNP
retort,NN
renewing,VBG
referenda,NN
responsibility,NN
rentals,NNS
refund,VB
restriction,NN
reeling,VBG
renaissance-style,JJ
replies,NNS
responsive,JJ
reformers,NNS
replicating,VBG
restructurings,NNS
revived,VBN
recombinant,JJ
rescheduled,VBN
reluctance,NN
resort,NN
reuters,NNP
repriced,VBN
return,NN
records,NNS
refinery,NN
republican,JJ
realize,VBP
represents,VBZ
respectable,JJ
reasonably,RB
repayment,NN
repaired,VBN
referred,VBD
repaid,VBN
reduce,VB
related,VBN
reorganized,VBN
really,RB
reinstating,VBG
research,NN
remorse,NN
reader,NN
receiving,VBG
remodeling,NN
red,NN
rebuilding,VBG
reporting,VBG
resume,VB
reason,NN
rebel,NN
regulatory,JJ
remainder,NN
receipts,NNS
renee,NNP
retained,VBN
recovering,VBG
renew,VB
resumes,VBZ
retain,VB
retail,JJ
revenue,NN
researcher,NN
reinvestment,NN
reflected,VBN
reaches,VBZ
reopen,VB
reached,VBD
renovated,VBN
revival,NN
recruiting,VBG
revive,VB
relations,NNP
response,NN
redistributing,VBG
regulation,NN
replete,JJ
realization,NN
returns,NNS
recovered,VBD
rewards,NNS
releases,NNS
relieved,JJ
reversed,VBD
realized,VBD
rejected,VBN
reallocate,VB
released,VBN
rectified,VBN
reflecting,VBG
representing,VBG
reaped,VBN
resist,VB
require,VB
reacted,VBD
referral,NN
realestate,VB
rewrite,VB
revolt,NN
reassuring,JJ
recyclable,JJ
regulate,VB
relatively,RB
relationship,NN
responsible,JJ
reliance,NNP
recognizing,VBG
reciting,VBG
refocusing,NN
reach,NN
regular,JJ
retaining,VBG
refrigerator,NN
rey\/fawcett,NNP
refreshing,VBG
refunds,NNS
reallocated,VBN
request,NN
reputation,NN
rechargeable,JJ
responded,VBD
reserve,NN
recess,NN
rebels,NNS
reductions,NNS
rep.,NNP
relation,NN
resisting,VBG
resubmit,VB
reap,VB
retorts,NNS
reps,NNS
resent,VBP
reversal,NN
reporters,NNS
report,NN
reprint,VB
red-carpet,JJ
regarding,VBG
resolve,VB
retaliation,NN
remove,VB
requesting,VBG
rent-a-car,NNP
recommendations,NNS
release,NN
restaurants,NNS
respond,VBP
requirement,NN
reference,NN
recruit,VB
relative,JJ
result,NN
resigning,VBG
resigned,VBD
receipt,NN
reform,NN
review,NN
representatives,NNS
reading,NN
retentive,JJ
recently,RB
responses,NNS
receivers,NNS
restricting,VBG
respondents,NNS
retirement,NN
received,VBN
restaurant,NNP
resistant,JJ
residence,NN
region,NN
red-blooded,JJ
receives,VBZ
red-flag,VB
requests,NNS
recyclability,NN
reasons,NNS
resentment,NN
refile,VB
regulated,VBN
respect,NN
regenerate,VB
rebuild,VB
remained,VBD
referendum,NN
responds,VBZ
reduction,NN
replicate,VB
recognize,VBP
restrictions,NNS
republicans,NNPS
requires,VBZ
readings,NNS
rekindled,VBN
representative,NN
relaunched,VBN
referrals,NNS
replaced,VBN
recouped,VBN
redevelopment,NNP
resolved,VBD
respected,VBN
ready,NNP
recover,VB
reminded,VBD
rebellion,NN
retailing,NN
reasserts,VBZ
refusal,NN
recent,JJ
relies,VBZ
retard,VB
