term,tag
right,NN
ringing,VBG
riyadh,NNP
ringer,NN
richer,JJR
riese,NNP
rim,NN
rising,VBG
ringers,NNS
ring,VBP
rill,NNP
riskier,JJR
rigors,NNS
richard,NNP
riserva,NNP
rieslings,NNPS
rings,VBZ
richmond,NNP
rivals,NNS
rick,NNP
rich,JJ
riding,VBG
rice,NNP
rider,NN
rita,NNP
risk,NN
risen,VBN
ricken,NNP
rise,NN
richebourg,NNP
rigid,JJ
ridgefield,NNP
rises,NNS
riders,NNS
rico,NNP
rights,NNS
rival,NN
ritual,NN
ripen,VBP
rifles,NNS
risks,NNS
riviera,NNP
rigged,VBN
risk-free,JJ
river,NNP
