term,tag
ropes,NNS
rooted,VBN
rocket,NN
rothschild,NNP
roughly,RB
roederer,NNP
roosevelt,NNP
rouge,NNP
rough,JJ
rollover,NN
robbed,VBN
rounds,NNS
row,NN
roadblock,NN
robustly,RB
rosenblum,NNP
rose,VBD
robert,NNP
royal,NNP
romance,NN
roofs,NNS
roof-crush,JJ
role,NN
rowe,NNP
routine,JJ
robertson,NNP
rotie,NNP
roll,NN
ross,NNP
rozell,NNP
roukema,NNP
rockwell,NNP
rolled,VBD
rock,NNP
rout,NN
ronald,NNP
royalty,NN
robotic,JJ
rolling,VBG
round-trip,JJ
romanee-conti,NNP
rope-sight,NN
rockford,NNP
robbie,NNP
rogers,NNP
roland,NNP
route,NN
roughhewn,JJ
rockefeller,NNP
roof,NN
rope,NN
roman,JJ
roger,NNP
romanticized,VBN
routes,VBZ
root,NN
round,NN
road,NN
