term,tag
salomon,NNP
saying,VBG
satisfactory,JJ
says,VBZ
san,NNP
sagging,VBG
savers\/investors,NNS
salinas,NNP
sandra,NNP
sales,NNS
safeguarding,VBG
satisfaction,NN
say,VBP
salty,NNP
salaries,NNS
saving,VBG
savin,NNP
samnick,NNP
saw,VBD
saturday,NNP
sasaki,NNP
sat,NNP
sanford,NNP
said,VBD
sacked,VBD
sake,NN
saved,VBD
salable,JJ
saints,NNP
sachs,NNP
same,JJ
sandoz,NNP
sangyo,NNP
safety,NN
samples,NNS
sacramento,NNP
save,VB
sauce,NN
satrum,NNP
sacramento-based,JJ
salary,NN
safe,JJ
sable,NNP
sauvignon,NNP
sabhavasu,NNP
sacrifice,VB
samuel,NNP
salarymen,NNS
sandberg,NNP
salon,NNP
satisfying,VBG
satisfactorily,RB
santa,NNP
sanderoff,NNP
sauternes,NNP
sassy,JJ
sad,JJ
sayers,NNP
salmore,NNP
sacrificing,VBG
salvador,NNP
sanctions,VBZ
sacks,NNS
sabotage,VB
sandifer,NNP
sagged,VBD
sale,NN
sandinista,NNP
savings-and-loan,JJ
savings,NNS
savvier,JJR
saudi,NNP
saitama,NNP
salt,NNP
sank,VBD
safe-deposit,JJ
saul,NNP
